	('Numbers: Five-5988', 'Digit: Five')	('Numbers: Five-573', 'Digit: Five')	('Numbers: Six-5766', 'Digit: Six')	('Numbers: Eight-5687', 'Digit: Eight')	('Numbers: Zero-6374', 'Digit: Zero')	('Numbers: Six-4535', 'Digit: Six')	('Numbers: Nine-1353', 'Digit: Nine')	('Numbers: Three-4063', 'Digit: Three')	('Numbers: Two-2242', 'Digit: Two')	('Numbers: Six-4742', 'Digit: Six')	('Numbers: Six-4597', 'Digit: Six')	('Numbers: Six-3897', 'Digit: Six')	('Numbers: Three-6513', 'Digit: Three')	('Numbers: Seven-5026', 'Digit: Seven')	('Numbers: Four-6277', 'Digit: Four')	('Numbers: Four-307', 'Digit: Four')	('Numbers: Zero-2589', 'Digit: Zero')	('Numbers: Six-1819', 'Digit: Six')	('Numbers: One-2216', 'Digit: One')	('Numbers: Six-4625', 'Digit: Six')	('Numbers: Nine-6749', 'Digit: Nine')	('Numbers: Seven-5147', 'Digit: Seven')	('Numbers: Seven-791', 'Digit: Seven')	('Numbers: Zero-2997', 'Digit: Zero')	('Numbers: Five-5313', 'Digit: Five')	('Numbers: Four-6502', 'Digit: Four')	('Numbers: Four-2173', 'Digit: Four')	('Numbers: Four-459', 'Digit: Four')	('Numbers: Zero-3729', 'Digit: Zero')	('Numbers: Three-6213', 'Digit: Three')	('Numbers: Five-2201', 'Digit: Five')	('Numbers: Seven-1830', 'Digit: Seven')	('Numbers: Zero-4354', 'Digit: Zero')	('Numbers: Nine-3217', 'Digit: Nine')	('Numbers: Six-4860', 'Digit: Six')	('Numbers: Five-2026', 'Digit: Five')	('Numbers: Six-1078', 'Digit: Six')	('Numbers: Four-756', 'Digit: Four')	('Numbers: Two-771', 'Digit: Two')	('Numbers: Seven-1815', 'Digit: Seven')	('Numbers: Zero-69', 'Digit: Zero')	('Numbers: Five-517', 'Digit: Five')	('Numbers: One-282', 'Digit: One')	('Numbers: One-3358', 'Digit: One')	('Numbers: Eight-2356', 'Digit: Eight')	('Numbers: Five-1369', 'Digit: Five')	('Numbers: Seven-136', 'Digit: Seven')	('Numbers: Nine-3632', 'Digit: Nine')	('Numbers: One-5942', 'Digit: One')	('Numbers: Nine-3381', 'Digit: Nine')	('Numbers: Five-254', 'Digit: Five')	('Numbers: Seven-2310', 'Digit: Seven')	('Numbers: Seven-6546', 'Digit: Seven')	('Numbers: Nine-2265', 'Digit: Nine')	('Numbers: Nine-6823', 'Digit: Nine')	('Numbers: Four-2860', 'Digit: Four')	('Numbers: Seven-1241', 'Digit: Seven')	('Numbers: Six-3933', 'Digit: Six')	('Numbers: Zero-4387', 'Digit: Zero')	('Numbers: Two-681', 'Digit: Two')	('Numbers: Two-1467', 'Digit: Two')	('Numbers: Two-604', 'Digit: Two')	('Numbers: Three-6923', 'Digit: Three')	('Numbers: Three-1236', 'Digit: Three')	('Numbers: Six-5538', 'Digit: Six')	('Numbers: Two-2505', 'Digit: Two')	('Numbers: One-3389', 'Digit: One')	('Numbers: Two-6745', 'Digit: Two')	('Numbers: Six-991', 'Digit: Six')	('Numbers: One-5367', 'Digit: One')	('Numbers: Zero-4025', 'Digit: Zero')	('Numbers: Two-815', 'Digit: Two')	('Numbers: Seven-1293', 'Digit: Seven')	('Numbers: Nine-1222', 'Digit: Nine')	('Numbers: Nine-4416', 'Digit: Nine')	('Numbers: Eight-1341', 'Digit: Eight')	('Numbers: Four-4925', 'Digit: Four')	('Numbers: Four-1148', 'Digit: Four')	('Numbers: One-3820', 'Digit: One')	('Numbers: Four-6380', 'Digit: Four')	('Numbers: Seven-4339', 'Digit: Seven')	('Numbers: Eight-5763', 'Digit: Eight')	('Numbers: Seven-6757', 'Digit: Seven')	('Numbers: Six-3632', 'Digit: Six')	('Numbers: Six-1245', 'Digit: Six')	('Numbers: Six-185', 'Digit: Six')	('Numbers: Nine-2661', 'Digit: Nine')	('Numbers: Eight-5400', 'Digit: Eight')	('Numbers: Five-4818', 'Digit: Five')	('Numbers: Two-3886', 'Digit: Two')	('Numbers: Six-990', 'Digit: Six')	('Numbers: One-5209', 'Digit: One')	('Numbers: Five-6071', 'Digit: Five')	('Numbers: Two-5864', 'Digit: Two')	('Numbers: Five-5793', 'Digit: Five')	('Numbers: One-1519', 'Digit: One')	('Numbers: Nine-5532', 'Digit: Nine')	('Numbers: Eight-5622', 'Digit: Eight')	('Numbers: Six-3402', 'Digit: Six')	('Numbers: Six-5617', 'Digit: Six')
pos_6-20	254	0	0	0	178	0	0	0	0	0	83	0	0	0	0	0	82	77	0	0	0	0	0	126	255	0	34	0	245	0	0	0	252	255	0	253	30	1	235	0	0	0	0	0	0	0	161	0	237	0	104	0	0	0	0	0	0	0	254	0	0	169	128	0	0	0	0	191	0	0	0	0	0	0	0	253	0	0	0	0	0	241	0	20	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-21	209	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	134	246	122	254	0	0	0	221	97	0	253	0	0	254	0	0	6	0	0	0	0	44	0	255	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	192	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-22	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	255	254	254	252	193	0	0	0	47	1	0	254	0	0	208	0	0	48	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	191	190	52	99	24	0	0	0	4	0	0	253	0	0	0	0	0	141	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79
pos_6-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
pos_6-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	46	0	0	0	73	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	107	0	0	0	232	0	0	0	0	0	23	0	0	0	0	253	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	113	0	64	0	0	0	0	252	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	107	0	0	0	252	0	0	0	0	0	83	0	0	0	0	251	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-8	0	0	0	0	0	0	0	0	96	0	0	0	0	77	17	252	0	0	0	0	0	0	253	7	255	0	0	0	0	146	0	0	6	0	0	0	0	0	0	132	28	0	0	0	0	0	107	0	0	0	252	0	0	0	0	153	83	0	0	0	99	253	0	253	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	156	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
pos_7-9	0	0	0	0	0	0	0	0	175	0	0	31	0	91	244	252	164	0	0	211	92	0	252	135	255	0	0	56	0	132	0	0	135	8	0	0	0	0	0	225	253	0	0	0	164	0	107	37	0	0	252	0	0	0	0	254	83	89	0	0	253	251	0	253	26	0	0	0	0	0	4	0	138	0	0	0	253	0	0	0	156	92	38	0	0	0	0	176	0	0	0	0	0	0	0	0	0	9	168	0
pos_7-10	0	17	0	0	195	0	0	0	255	0	0	228	0	91	203	252	254	0	0	253	217	0	187	253	128	0	0	252	0	63	0	0	252	28	0	0	0	0	0	253	253	0	0	0	249	0	107	71	0	0	252	0	0	0	19	254	83	250	0	0	253	253	0	253	254	0	0	0	0	0	105	0	252	0	0	0	22	0	0	29	194	128	167	0	0	0	0	254	0	0	0	0	0	0	0	0	1	245	252	0
pos_7-11	39	198	0	0	253	0	21	0	255	0	0	254	0	191	3	131	134	0	0	252	253	0	19	252	0	0	0	252	0	0	59	0	242	154	5	0	0	232	0	253	253	0	0	0	252	0	107	159	0	29	231	0	0	0	157	31	128	253	34	0	253	251	187	253	166	0	0	0	1	0	218	11	252	0	0	0	0	0	0	57	156	19	253	0	0	0	190	249	27	0	0	0	0	0	255	0	18	254	254	196
pos_7-12	241	252	41	153	196	0	88	0	191	0	0	254	0	254	0	0	0	0	0	126	253	0	0	252	0	0	0	99	0	0	254	0	216	253	192	0	0	172	123	253	14	0	0	0	252	0	107	250	0	198	217	0	6	0	253	0	168	253	227	0	191	196	253	253	0	0	0	64	84	170	253	225	252	8	3	0	0	0	233	0	156	19	253	53	0	5	254	210	146	0	0	0	0	0	170	0	94	236	250	255
pos_7-13	253	252	243	252	0	99	206	7	143	202	0	254	0	255	0	0	0	0	109	0	253	0	0	252	0	0	31	0	0	0	254	42	247	253	221	34	0	13	241	253	0	0	0	0	209	0	177	177	0	255	215	0	79	0	252	0	181	131	254	0	0	83	253	253	0	0	68	255	251	255	253	254	252	167	128	0	0	0	111	0	81	15	143	236	0	119	254	147	254	0	28	107	0	0	0	0	137	254	111	219
pos_7-14	253	139	233	182	0	252	254	108	80	253	0	217	72	190	0	0	0	177	252	0	253	0	0	252	64	0	220	0	0	0	69	118	252	253	30	229	0	0	254	255	0	0	100	13	106	0	241	159	0	255	195	70	79	106	252	0	255	0	195	48	0	84	254	253	0	0	246	255	254	253	247	121	253	245	243	0	0	0	0	0	46	41	6	253	255	211	254	224	175	0	209	253	0	0	0	128	173	213	10	30
pos_7-15	254	39	30	0	0	253	254	250	128	216	82	9	241	91	0	0	0	252	253	0	253	0	0	228	255	0	168	0	16	0	0	218	252	253	0	253	25	0	254	253	1	0	254	228	179	0	240	60	0	255	71	253	136	235	252	0	254	0	7	254	0	83	253	253	0	69	159	255	253	255	228	0	252	224	254	204	0	0	0	0	0	224	0	254	255	253	254	253	218	0	254	253	0	0	0	255	200	243	0	0
pos_7-16	253	19	0	0	0	118	254	129	143	78	240	0	231	91	0	0	0	252	108	0	253	59	0	195	255	0	0	0	224	164	0	255	252	253	0	253	180	0	254	236	58	0	254	252	252	0	240	0	0	255	41	232	221	253	253	0	246	0	0	176	126	84	253	253	0	253	103	255	45	84	248	0	252	143	231	253	0	206	0	255	0	206	0	253	255	253	139	254	218	0	230	124	0	3	0	255	203	254	0	0
pos_7-17	186	39	0	0	0	0	254	0	255	0	254	0	38	76	0	0	0	252	0	0	253	77	0	208	255	0	0	0	253	252	0	254	146	253	0	253	254	155	234	132	227	0	15	252	252	0	244	0	4	255	0	20	254	185	252	64	161	0	0	0	253	196	254	84	0	253	0	255	0	0	253	169	252	171	152	131	243	254	0	255	0	111	0	198	255	253	0	229	134	133	29	0	0	149	29	255	131	217	0	0
pos_7-18	161	6	0	0	3	0	254	0	223	0	170	0	0	0	154	0	49	240	0	0	227	135	0	252	255	0	0	0	172	252	0	254	96	253	0	254	172	254	65	132	253	0	0	112	200	0	252	0	150	170	0	0	223	186	187	84	21	0	170	0	253	253	253	0	0	246	0	255	0	0	175	254	211	252	241	0	253	161	0	0	0	22	26	58	128	218	0	0	0	155	0	0	0	253	29	191	18	5	0	0
pos_7-19	161	0	0	0	78	0	241	0	0	0	61	0	0	0	253	0	231	81	0	0	119	220	0	252	255	0	0	0	26	74	0	254	119	253	0	253	8	70	11	190	237	16	0	0	22	0	252	0	253	86	0	0	254	232	7	24	0	0	254	0	160	251	254	0	0	0	0	255	0	0	4	99	0	74	136	4	55	0	0	0	0	0	132	0	0	61	0	0	0	0	0	0	0	183	0	0	7	0	0	0
pos_7-20	46	0	0	0	229	0	65	0	0	0	0	0	0	0	67	0	206	0	0	0	0	255	0	229	255	66	180	0	13	0	0	255	242	253	0	253	0	0	188	93	79	95	0	0	0	0	252	0	253	0	0	0	181	25	0	0	0	0	254	0	0	225	171	0	0	0	0	255	0	0	0	0	0	0	0	189	0	0	0	0	0	0	99	0	0	9	0	0	0	0	0	0	0	8	0	0	0	0	0	0
pos_7-21	17	0	0	0	176	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	240	0	21	255	245	254	164	125	0	0	254	252	253	0	253	0	0	254	8	2	199	0	0	0	0	219	0	253	0	0	0	62	0	0	0	0	0	154	0	0	56	1	0	0	0	0	255	0	0	0	0	0	0	0	237	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-22	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	32	0	0	191	250	228	252	251	0	0	138	252	96	0	254	0	0	208	0	0	254	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	128	35	43	66	54	0	0	0	53	1	0	253	0	0	0	0	0	254	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79
pos_7-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
pos_7-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	107	0	0	0	237	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-6	0	0	0	0	0	0	0	0	112	0	0	0	0	24	0	55	0	0	0	0	0	0	0	0	64	0	0	0	0	207	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	252	0	0	0	252	0	0	0	0	0	180	0	0	0	2	255	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	203	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-7	0	0	0	0	0	0	0	0	223	0	0	0	0	180	0	245	0	0	0	0	0	0	25	0	255	0	0	0	0	146	0	0	0	1	0	0	0	0	0	252	0	0	0	0	2	0	252	12	0	0	252	0	0	0	0	0	254	0	0	0	41	196	0	236	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	135	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-8	0	0	0	0	0	0	0	0	255	0	0	2	0	242	20	252	0	0	0	38	87	0	165	29	255	0	0	0	0	4	0	0	60	28	0	0	0	0	0	252	120	0	0	0	119	0	252	158	0	0	252	0	0	0	0	84	254	0	0	0	213	169	0	253	0	0	0	0	0	0	16	0	0	0	0	0	212	0	0	0	135	208	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	21	0
pos_8-9	0	0	0	0	73	0	0	0	255	0	0	131	0	253	253	252	235	0	0	236	245	0	252	252	191	0	0	65	0	0	0	14	252	208	0	0	0	0	0	252	253	0	0	0	250	0	252	241	0	0	128	0	0	0	45	254	254	212	0	0	253	56	0	253	113	0	0	0	0	0	167	0	48	0	0	0	253	0	0	0	234	253	181	0	0	0	8	241	0	0	0	0	0	0	0	0	16	54	254	0
pos_8-10	11	89	0	0	235	0	54	0	239	0	0	254	0	253	194	218	247	0	0	254	253	50	252	253	0	0	0	252	0	0	0	97	252	253	5	0	0	7	0	252	253	0	0	0	252	0	252	254	0	57	108	0	71	0	215	225	254	253	34	0	253	0	0	164	254	0	0	0	0	0	253	0	227	0	0	0	128	0	0	198	233	253	252	0	0	0	170	254	98	0	0	0	0	0	0	0	97	254	254	34
pos_8-11	141	252	21	0	248	0	208	0	32	0	0	254	0	253	0	80	36	0	0	253	253	182	153	252	0	0	0	232	0	0	114	167	156	253	201	0	0	244	7	252	228	0	0	0	248	0	252	254	0	255	46	0	157	0	252	18	254	253	214	0	211	0	95	42	80	0	0	191	18	0	253	72	252	78	20	0	0	0	0	255	247	253	232	66	0	0	252	78	248	0	1	0	0	0	170	0	254	254	254	244
pos_8-12	253	252	214	232	21	105	254	0	0	177	0	254	0	253	0	0	0	27	0	65	253	241	76	245	0	0	12	4	0	0	254	234	0	241	219	41	0	186	202	252	10	0	0	0	196	0	252	238	0	226	0	0	194	3	253	0	254	225	254	0	31	0	253	19	0	0	0	255	254	168	253	254	252	233	184	0	0	0	233	0	253	253	237	245	0	31	238	0	216	0	31	0	0	0	198	0	254	40	109	254
pos_8-13	253	248	253	252	0	242	254	0	0	249	19	254	50	253	0	0	0	184	109	0	251	210	0	208	191	0	221	0	0	0	205	241	217	210	34	229	0	17	251	252	0	0	0	0	20	0	252	226	0	114	0	56	253	125	233	0	254	33	191	0	0	0	253	53	0	0	34	255	254	253	204	226	252	253	254	0	0	0	190	0	253	233	252	253	191	253	150	0	89	0	210	17	0	0	0	0	254	71	0	135
pos_8-14	147	88	82	59	0	252	254	0	0	213	155	97	254	253	0	0	0	253	252	0	178	241	0	84	255	0	235	0	0	31	2	253	179	111	0	254	52	0	244	253	0	0	100	191	0	0	253	245	0	0	0	238	253	254	130	0	254	0	24	5	0	0	254	227	0	0	238	255	249	251	75	25	253	185	218	0	0	0	0	0	245	223	92	253	255	253	116	10	2	0	253	253	0	0	0	191	254	7	0	0
pos_8-15	23	0	0	0	0	159	219	203	0	23	254	0	254	253	0	0	0	252	253	0	225	241	0	47	255	0	31	0	138	110	0	253	141	111	0	254	180	0	218	252	0	0	254	252	67	0	252	249	0	0	0	254	254	189	56	0	254	0	0	214	0	0	253	253	0	69	245	255	106	253	0	0	252	33	91	204	0	45	0	29	207	204	0	254	255	253	242	221	28	0	239	253	0	0	0	255	254	184	0	0
pos_8-16	23	0	0	0	0	5	116	160	0	0	246	0	73	253	0	0	0	252	108	0	253	251	0	0	255	0	0	0	254	242	0	253	241	111	0	254	249	9	94	252	0	16	254	252	252	0	252	178	6	86	0	200	253	96	69	0	254	0	0	211	75	0	253	253	0	253	58	255	0	83	114	43	252	0	4	253	96	234	0	255	88	26	0	200	255	253	153	254	208	0	49	43	0	0	0	255	254	254	0	0
pos_8-17	6	0	0	0	0	0	117	0	255	0	142	0	0	212	37	0	0	245	0	0	253	254	0	19	191	0	0	0	253	252	0	253	0	111	0	254	141	223	24	252	42	58	15	236	252	0	252	10	148	141	0	40	253	13	224	193	254	0	0	4	253	169	254	137	0	253	0	255	0	0	247	236	252	0	0	39	253	254	0	255	2	0	0	23	64	215	0	232	162	107	0	0	0	0	0	255	254	254	0	0
pos_8-18	0	0	0	0	0	0	237	0	223	0	25	0	0	0	250	0	0	81	0	0	253	254	0	180	128	0	0	0	188	229	0	253	0	111	0	254	8	210	0	252	229	224	0	50	252	0	252	0	253	0	0	0	253	78	252	254	205	0	170	0	253	254	253	0	0	164	0	255	0	0	253	224	252	225	82	0	253	161	0	0	0	0	118	0	0	38	0	197	28	225	0	0	0	242	0	128	254	9	0	0
pos_8-19	0	0	0	132	0	0	254	0	0	0	0	0	0	0	229	0	182	0	0	0	238	254	0	252	0	6	55	0	120	52	0	253	0	111	0	254	0	10	0	252	253	247	0	0	160	0	252	0	253	0	0	0	253	253	28	126	0	0	254	0	160	253	254	0	0	0	0	255	0	0	169	13	0	159	236	0	103	0	0	0	0	0	252	0	0	0	0	197	3	14	0	0	0	254	0	0	89	0	0	0
