	('Numbers: Eight-19', 'Digit: Eight')	('Numbers: Two-12', 'Digit: Two')	('Numbers: Six-19', 'Digit: Six')	('Numbers: Zero-8', 'Digit: Zero')	('Numbers: Seven-16', 'Digit: Seven')	('Numbers: Two-22', 'Digit: Two')	('Numbers: Zero-19', 'Digit: Zero')	('Numbers: Five-12', 'Digit: Five')	('Numbers: Four-25', 'Digit: Four')	('Numbers: Five-28', 'Digit: Five')	('Numbers: One-8', 'Digit: One')	('Numbers: Two-23', 'Digit: Two')	('Numbers: Three-22', 'Digit: Three')	('Numbers: Eight-27', 'Digit: Eight')	('Numbers: Six-2', 'Digit: Six')	('Numbers: Six-27', 'Digit: Six')	('Numbers: Nine-21', 'Digit: Nine')	('Numbers: Six-29', 'Digit: Six')	('Numbers: Four-19', 'Digit: Four')	('Numbers: Four-9', 'Digit: Four')
('Pixels: pos_7-0', 'Center: 32.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_7-1', 'Center: 32.5269119346')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_7-2', 'Center: 32.3178698572')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_7-3', 'Center: 31.9822066406')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_7-4', 'Center: 31.5357219981')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_7-5', 'Center: 30.9956544794')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_7-6', 'Center: 30.3784352892')	0	0	0	0	52	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0
('Pixels: pos_7-7', 'Center: 29.6984848098')	0	0	0	0	253	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0
('Pixels: pos_7-8', 'Center: 28.9678339337')	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0
('Pixels: pos_7-9', 'Center: 28.1962254955')	0	0	0	0	0	0	0	0	0	0	0	143	98	0	0	0	0	0	0	0
('Pixels: pos_7-10', 'Center: 27.3914241307')	181	102	0	62	0	0	0	0	0	128	0	143	112	0	0	130	0	0	20	0
('Pixels: pos_7-11', 'Center: 26.559574936')	252	253	0	211	0	13	151	0	0	255	0	143	222	20	63	254	0	0	151	3
('Pixels: pos_7-12', 'Center: 25.705535757')	253	253	244	250	0	112	253	0	0	255	0	143	253	232	251	254	128	0	107	86
('Pixels: pos_7-13', 'Center: 24.8331566862')	252	253	254	252	0	112	253	0	0	255	0	205	253	254	165	254	191	59	0	46
('Pixels: pos_7-14', 'Center: 23.9455039039')	252	253	108	250	0	12	253	0	0	64	29	253	253	74	0	254	255	253	0	0
('Pixels: pos_7-15', 'Center: 23.0450343892')	252	254	0	250	0	0	253	0	0	0	112	252	253	254	0	239	255	253	0	0
('Pixels: pos_7-16', 'Center: 22.1337305499')	253	253	0	250	0	0	253	0	0	255	89	252	253	155	0	25	128	251	0	0
('Pixels: pos_7-17', 'Center: 21.2132034356')	252	182	0	252	0	0	253	0	11	255	0	108	251	0	0	0	128	104	0	0
('Pixels: pos_7-18', 'Center: 20.2847718306')	252	253	0	250	0	113	253	0	206	0	40	0	225	0	0	0	128	0	105	0
('Pixels: pos_7-19', 'Center: 19.3495230151')	252	253	0	250	0	252	139	0	239	0	222	0	43	0	0	0	0	0	254	0
('Pixels: pos_7-20', 'Center: 18.408359646')	222	253	0	49	0	252	0	0	22	0	0	0	0	0	0	0	0	0	231	91
('Pixels: pos_7-21', 'Center: 17.4620361253')	46	253	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	23	246
('Pixels: pos_7-22', 'Center: 16.5111869852')	0	253	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	252
('Pixels: pos_7-23', 'Center: 15.5563491861')	0	59	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	232
('Pixels: pos_7-24', 'Center: 14.5979797464')	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	57
('Pixels: pos_7-25', 'Center: 13.636469775')	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_7-26', 'Center: 12.6721557108')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_7-27', 'Center: 11.7053283845')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_8-0', 'Center: 31.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_8-1', 'Center: 31.5357219981')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_8-2', 'Center: 31.3517684952')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_8-3', 'Center: 31.0539760011')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_8-4', 'Center: 30.6537078364')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_8-5', 'Center: 30.1639986144')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_8-6', 'Center: 29.5979797464')	0	0	0	0	51	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
('Pixels: pos_8-7', 'Center: 28.9678339337')	0	0	0	0	252	0	0	0	0	0	0	159	44	0	0	0	0	0	0	0
('Pixels: pos_8-8', 'Center: 28.2842712475')	0	0	0	0	82	0	0	0	0	0	0	195	222	0	0	0	0	0	0	0
('Pixels: pos_8-9', 'Center: 27.5563851677')	0	199	0	41	0	0	0	0	0	0	0	0	251	0	0	64	0	0	0	0
('Pixels: pos_8-10', 'Center: 26.7917312716')	181	245	0	221	0	0	48	0	0	128	0	0	253	0	0	251	191	0	87	0
('Pixels: pos_8-11', 'Center: 25.9965092377')	252	253	0	250	0	0	208	0	0	255	0	0	253	0	107	253	255	0	254	103
('Pixels: pos_8-12', 'Center: 25.1757746446')	253	253	244	250	0	0	253	0	0	255	0	0	253	213	254	253	255	31	235	252
('Pixels: pos_8-13', 'Center: 24.333642224')	210	240	243	252	0	0	253	0	0	64	0	20	253	254	138	254	255	219	0	187
('Pixels: pos_8-14', 'Center: 23.4734642498')	128	90	48	250	0	0	253	0	0	0	120	253	253	42	0	210	255	253	0	13
('Pixels: pos_8-15', 'Center: 22.5979797464')	168	29	0	250	0	0	253	0	0	0	254	252	253	164	0	87	255	253	0	0
('Pixels: pos_8-16', 'Center: 21.7094359264')	108	29	0	250	0	0	253	0	0	191	251	252	253	155	0	0	255	127	0	0
('Pixels: pos_8-17', 'Center: 20.8096855184')	232	25	0	252	0	0	253	0	85	128	127	148	253	0	0	0	255	0	21	0
('Pixels: pos_8-18', 'Center: 19.9002641429')	252	253	0	250	0	114	253	29	254	0	40	0	253	0	0	0	255	0	213	0
('Pixels: pos_8-19', 'Center: 18.9824516184')	252	253	0	128	0	253	139	116	234	0	222	0	242	0	0	0	255	0	254	22
('Pixels: pos_8-20', 'Center: 18.0573205179')	253	253	0	10	0	253	0	199	0	0	0	0	235	0	0	0	0	0	170	219
('Pixels: pos_8-21', 'Center: 17.1257746922')	179	253	0	0	0	84	0	200	0	0	0	0	161	0	0	0	0	0	0	252
('Pixels: pos_8-22', 'Center: 16.188579925')	0	129	0	0	0	0	0	249	0	0	0	0	48	0	0	0	0	0	0	252
('Pixels: pos_8-23', 'Center: 15.2463884227')	0	7	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	175
('Pixels: pos_8-24', 'Center: 14.2997584651')	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_8-25', 'Center: 13.3491702496')	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_8-26', 'Center: 12.395038729')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_8-27', 'Center: 11.4377240658')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_9-0', 'Center: 30.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_9-1', 'Center: 30.5425946083')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_9-2', 'Center: 30.3784352892')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_9-3', 'Center: 30.1111467659')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_9-4', 'Center: 29.7491219447')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_9-5', 'Center: 29.3023496055')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
('Pixels: pos_9-6', 'Center: 28.7813259201')	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_9-7', 'Center: 28.1962254955')	0	0	0	0	253	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0
('Pixels: pos_9-8', 'Center: 27.5563851677')	0	0	0	0	255	0	0	0	0	0	0	41	244	0	0	0	0	0	0	0
('Pixels: pos_9-9', 'Center: 26.8700576851')	0	110	0	254	213	0	0	0	0	0	0	0	253	0	0	120	191	0	0	0
('Pixels: pos_9-10', 'Center: 26.1443556994')	181	244	0	252	41	0	85	0	0	255	0	0	127	0	0	253	255	0	87	8
('Pixels: pos_9-11', 'Center: 25.3853093429')	252	237	11	252	0	0	253	0	0	255	0	0	25	0	182	253	255	0	254	181
('Pixels: pos_9-12', 'Center: 24.5979797464')	253	170	245	252	0	0	253	0	0	64	0	0	129	121	229	253	255	125	235	252
('Pixels: pos_9-13', 'Center: 23.7865914456')	179	61	231	254	0	0	253	0	0	0	0	0	155	254	40	254	191	253	0	246
('Pixels: pos_9-14', 'Center: 22.9546627694')	0	0	0	252	0	0	253	0	0	0	197	232	126	71	0	203	255	253	0	30
('Pixels: pos_9-15', 'Center: 22.1051240619')	0	0	0	252	0	0	236	0	0	0	254	252	25	156	0	55	255	200	0	0
('Pixels: pos_9-16', 'Center: 21.2404199958')	0	61	0	252	0	0	156	27	0	0	254	252	49	155	0	0	128	20	0	0
('Pixels: pos_9-17', 'Center: 20.3625956848')	0	184	0	254	0	0	184	175	135	0	91	252	155	0	0	0	191	0	113	0
('Pixels: pos_9-18', 'Center: 19.4733679489')	37	253	0	252	0	238	253	243	254	0	40	0	218	26	0	0	255	0	254	0
('Pixels: pos_9-19', 'Center: 18.5741837048')	252	253	0	252	82	252	148	253	234	0	222	0	253	74	0	0	255	0	230	65
('Pixels: pos_9-20', 'Center: 17.666267547')	253	249	0	90	132	252	6	253	0	0	0	0	253	74	0	0	128	0	43	252
('Pixels: pos_9-21', 'Center: 16.7506604289')	179	143	0	0	10	84	0	254	0	0	0	0	253	167	0	0	0	0	0	237
('Pixels: pos_9-22', 'Center: 15.8282510984')	0	4	0	0	0	0	0	253	0	0	0	0	236	149	0	0	0	0	0	197
('Pixels: pos_9-23', 'Center: 14.899801676')	0	0	0	0	0	0	0	253	0	0	0	0	48	41	0	0	0	0	0	64
('Pixels: pos_9-24', 'Center: 13.9659685105')	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_9-25', 'Center: 13.0273192353')	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_9-26', 'Center: 12.0843467621')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_9-27', 'Center: 11.1374808049')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_10-0', 'Center: 29.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_10-1', 'Center: 29.5481041253')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_10-2', 'Center: 29.3999407193')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_10-3', 'Center: 29.1576732375')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_10-4', 'Center: 28.8276501322')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_10-5', 'Center: 28.4176398589')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87
('Pixels: pos_10-6', 'Center: 27.9360759568')	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_10-7', 'Center: 27.3914241307')	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_10-8', 'Center: 26.7917312716')	0	0	0	0	213	0	0	0	0	0	0	0	79	0	0	68	191	0	0	0
('Pixels: pos_10-9', 'Center: 26.1443556994')	0	0	0	150	252	0	7	0	0	0	0	0	48	0	0	254	255	0	0	13
('Pixels: pos_10-10', 'Center: 25.4558441227')	139	85	0	190	243	0	141	0	197	191	0	0	5	0	17	253	255	0	143	172
('Pixels: pos_10-11', 'Center: 24.7319109991')	252	56	108	250	203	0	253	0	88	255	0	0	0	0	232	253	128	96	254	252
('Pixels: pos_10-12', 'Center: 23.9774803946')	253	0	254	250	142	0	253	42	3	64	0	0	0	29	133	253	0	234	235	252
('Pixels: pos_10-13', 'Center: 23.1967602796')	200	0	155	252	61	0	253	150	0	0	64	0	0	254	0	254	0	253	0	104
('Pixels: pos_10-14', 'Center: 22.3933292124')	21	0	0	250	0	0	253	61	0	0	247	109	0	151	0	228	0	253	0	0
('Pixels: pos_10-15', 'Center: 21.5702233691')	0	0	0	250	0	0	27	149	0	0	254	252	0	83	0	238	0	25	0	0
('Pixels: pos_10-16', 'Center: 20.7300174823')	0	209	0	169	0	7	0	255	0	0	236	252	0	137	0	25	0	0	0	0
('Pixels: pos_10-17', 'Center: 19.8748968231')	0	253	0	171	82	135	170	254	185	0	50	252	0	93	0	0	0	0	196	0
('Pixels: pos_10-18', 'Center: 19.0067194645')	37	253	0	250	163	253	253	217	254	0	40	0	21	235	0	0	191	0	254	5
('Pixels: pos_10-19', 'Center: 18.1270691929')	252	213	0	250	243	252	253	104	178	0	107	0	45	254	0	0	255	0	182	184
('Pixels: pos_10-20', 'Center: 17.2372999714')	253	105	0	250	253	208	74	33	0	0	0	0	169	243	0	0	64	0	0	252
('Pixels: pos_10-21', 'Center: 16.3385730472')	179	0	0	82	50	19	0	92	0	0	0	0	253	187	0	0	0	0	0	67
('Pixels: pos_10-22', 'Center: 15.4318877993')	0	0	0	0	0	0	0	7	0	0	0	0	253	92	0	0	0	0	0	103
('Pixels: pos_10-23', 'Center: 14.5181073385')	0	0	0	0	0	0	0	0	0	0	0	0	237	32	0	0	0	0	0	0
('Pixels: pos_10-24', 'Center: 13.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_10-25', 'Center: 12.6721557108')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_10-26', 'Center: 11.7412031921')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_10-27', 'Center: 10.8056196487')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_11-0', 'Center: 28.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_11-1', 'Center: 28.5526187293')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_11-2', 'Center: 28.4176398589')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_11-3', 'Center: 28.1962254955')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_11-4', 'Center: 27.8932798357')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_11-5', 'Center: 27.5149337729')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_11-6', 'Center: 27.0680156603')	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_11-7', 'Center: 26.559574936')	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_11-8', 'Center: 25.9965092377')	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	93	255	0	0	8
('Pixels: pos_11-9', 'Center: 25.3853093429')	0	0	0	31	0	0	19	0	0	0	0	0	0	0	0	254	255	0	28	172
('Pixels: pos_11-10', 'Center: 24.7319109991')	32	0	0	191	102	0	253	0	224	128	0	0	0	0	133	254	64	11	243	252
('Pixels: pos_11-11', 'Center: 24.0416305603')	236	0	190	250	102	0	253	62	254	255	0	0	0	0	254	254	0	207	254	248
('Pixels: pos_11-12', 'Center: 23.3191591503')	253	0	254	250	163	0	253	207	67	191	0	0	0	16	105	254	0	253	155	145
('Pixels: pos_11-13', 'Center: 22.5685933805')	252	0	113	252	243	0	253	245	0	0	184	0	0	254	0	254	0	242	0	14
('Pixels: pos_11-14', 'Center: 21.7934859317')	92	54	0	189	254	0	253	114	0	0	254	171	0	253	0	254	0	114	0	0
('Pixels: pos_11-15', 'Center: 20.9969045087')	0	152	0	100	172	0	27	110	0	0	254	253	0	125	0	254	0	6	0	0
('Pixels: pos_11-16', 'Center: 20.1814919075')	0	251	0	20	254	44	0	83	22	0	91	253	0	237	0	152	0	0	72	0
('Pixels: pos_11-17', 'Center: 19.3495230151')	11	253	0	172	253	252	170	18	243	0	0	191	0	254	0	70	191	0	251	0
('Pixels: pos_11-18', 'Center: 18.5029566367')	68	210	55	250	224	253	253	9	235	0	6	0	0	207	0	7	255	0	254	109
('Pixels: pos_11-19', 'Center: 17.6434813463')	252	116	60	250	223	252	253	0	19	0	14	0	9	94	0	0	191	0	96	252
('Pixels: pos_11-20', 'Center: 16.7725553254')	253	0	25	250	224	102	74	0	0	0	0	0	99	25	0	0	0	0	0	183
('Pixels: pos_11-21', 'Center: 15.8914405642')	179	0	0	80	20	0	0	0	0	0	0	0	253	0	0	0	0	0	0	137
('Pixels: pos_11-22', 'Center: 15.0012319939')	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	64
('Pixels: pos_11-23', 'Center: 14.1028821785')	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
('Pixels: pos_11-24', 'Center: 13.1972221816')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_11-25', 'Center: 12.284979179')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_11-26', 'Center: 11.3667913195')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_11-27', 'Center: 10.4432202722')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_12-0', 'Center: 27.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_12-1', 'Center: 27.5563851677')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_12-2', 'Center: 27.4324546859')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_12-3', 'Center: 27.2286628696')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_12-4', 'Center: 26.9488691058')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_12-5', 'Center: 26.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_12-6', 'Center: 26.1815718814')	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_12-7', 'Center: 25.705535757')	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	64	0	0	5
('Pixels: pos_12-8', 'Center: 25.1757746446')	0	0	0	0	203	0	16	0	0	0	0	0	0	0	0	176	255	0	0	224
('Pixels: pos_12-9', 'Center: 24.5979797464')	0	0	0	213	0	0	186	3	0	0	0	0	0	0	0	254	191	4	121	252
('Pixels: pos_12-10', 'Center: 23.9774803946')	0	0	28	250	0	0	253	102	224	0	0	0	0	0	216	253	0	169	254	248
('Pixels: pos_12-11', 'Center: 23.3191591503')	62	0	235	250	0	0	253	208	254	255	0	0	0	0	254	253	0	253	237	134
('Pixels: pos_12-12', 'Center: 22.627416998')	253	16	254	250	0	0	253	245	143	255	0	0	0	9	27	253	0	253	58	0
('Pixels: pos_12-13', 'Center: 21.9061737335')	252	72	113	212	40	0	242	121	0	64	203	0	0	217	0	254	0	199	0	0
('Pixels: pos_12-14', 'Center: 21.1588908319')	236	229	0	29	50	0	105	0	0	0	254	253	0	254	0	253	0	0	0	0
('Pixels: pos_12-15', 'Center: 20.3886070341')	62	254	0	0	50	0	4	0	0	0	254	252	0	254	0	253	64	0	0	0
('Pixels: pos_12-16', 'Center: 19.5979797464')	63	242	60	0	151	169	0	0	133	0	71	252	0	252	0	253	191	0	173	0
('Pixels: pos_12-17', 'Center: 18.7893276998')	175	199	122	252	70	252	170	0	254	0	0	108	13	129	0	254	255	0	254	53
('Pixels: pos_12-18', 'Center: 17.9646720937')	252	31	249	250	20	253	253	0	176	0	0	0	79	10	0	157	255	0	177	238
('Pixels: pos_12-19', 'Center: 17.1257746922')	252	0	254	250	102	204	253	0	0	0	0	0	163	0	0	0	64	0	0	252
('Pixels: pos_12-20', 'Center: 16.2741721671')	191	0	197	250	223	25	94	0	0	0	0	0	253	0	0	0	0	0	0	245
('Pixels: pos_12-21', 'Center: 15.4112065016')	77	0	0	0	20	0	1	0	0	0	0	0	253	0	0	0	0	0	0	86
('Pixels: pos_12-22', 'Center: 14.5380515742')	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0
('Pixels: pos_12-23', 'Center: 13.6557362043')	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0
('Pixels: pos_12-24', 'Center: 12.7651640164')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_12-25', 'Center: 11.8671304987')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_12-26', 'Center: 10.9623376199')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_12-27', 'Center: 10.0514063411')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_13-0', 'Center: 26.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_13-1', 'Center: 26.559574936')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_13-2', 'Center: 26.4450333085')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_13-3', 'Center: 26.2563156823')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_13-4', 'Center: 25.9965092377')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_13-5', 'Center: 25.6695914693')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_13-6', 'Center: 25.2801586832')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
('Pixels: pos_13-7', 'Center: 24.8331566862')	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	62	64	0	0	174
('Pixels: pos_13-8', 'Center: 24.333642224')	0	0	0	0	214	0	141	0	0	0	0	0	0	0	0	240	255	0	0	252
('Pixels: pos_13-9', 'Center: 23.7865914456')	0	0	0	92	10	0	253	97	45	0	0	0	0	0	18	254	191	67	175	223
('Pixels: pos_13-10', 'Center: 23.1967602796')	0	0	90	252	0	0	253	253	243	0	0	0	0	0	227	253	0	253	254	88
('Pixels: pos_13-11', 'Center: 22.5685933805')	0	0	254	252	0	0	253	254	254	191	0	0	0	0	194	253	0	253	201	0
('Pixels: pos_13-12', 'Center: 21.9061737335')	192	178	254	252	0	0	242	89	41	255	23	6	0	32	3	253	0	252	0	0
('Pixels: pos_13-13', 'Center: 21.2132034356')	253	253	113	0	0	0	100	0	0	191	218	120	0	221	0	254	0	90	0	0
('Pixels: pos_13-14', 'Center: 20.4930065719')	253	253	0	0	0	0	0	0	0	64	254	253	0	254	0	253	0	8	0	0
('Pixels: pos_13-15', 'Center: 19.7485465052')	253	254	23	0	0	120	0	0	9	0	254	252	15	254	0	253	191	124	82	0
('Pixels: pos_13-16', 'Center: 18.9824516184')	255	105	218	0	0	253	0	0	205	0	71	246	96	92	0	253	255	130	219	0
('Pixels: pos_13-17', 'Center: 18.1970451874')	253	0	255	51	0	253	170	0	254	0	0	92	210	0	0	254	255	130	254	209
('Pixels: pos_13-18', 'Center: 17.3943764353')	237	0	254	252	0	255	253	0	113	0	0	0	253	0	0	244	191	130	94	252
('Pixels: pos_13-19', 'Center: 16.57625088')	144	0	254	252	102	106	253	0	0	0	0	0	253	0	30	80	0	57	0	252
('Pixels: pos_13-20', 'Center: 15.7442588627')	84	0	250	252	203	0	253	0	0	0	0	0	253	0	0	0	0	4	0	179
('Pixels: pos_13-21', 'Center: 14.899801676')	0	0	75	203	0	0	8	0	0	0	0	0	253	0	0	0	0	0	0	9
('Pixels: pos_13-22', 'Center: 14.0441150681')	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0
('Pixels: pos_13-23', 'Center: 13.1782901192')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_13-24', 'Center: 12.3032916185')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_13-25', 'Center: 11.4199741392')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_13-26', 'Center: 10.5290960389')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_13-27', 'Center: 9.6313316189')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_14-0', 'Center: 25.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_14-1', 'Center: 25.5623108988')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_14-2', 'Center: 25.4558441227')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_14-3', 'Center: 25.2801586832')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_14-4', 'Center: 25.0377599679')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_14-5', 'Center: 24.7319109991')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
