	('Numbers: Zero-6893', 'Digit: Zero')	('Numbers: Zero-5527', 'Digit: Zero')	('Numbers: Three-3542', 'Digit: Three')	('Numbers: One-1307', 'Digit: One')	('Numbers: Four-5143', 'Digit: Four')	('Numbers: Three-3684', 'Digit: Three')	('Numbers: Nine-2060', 'Digit: Nine')	('Numbers: Zero-6385', 'Digit: Zero')	('Numbers: Seven-6004', 'Digit: Seven')	('Numbers: Zero-835', 'Digit: Zero')	('Numbers: Five-3702', 'Digit: Five')	('Numbers: Six-4719', 'Digit: Six')	('Numbers: Two-6328', 'Digit: Two')	('Numbers: Seven-4120', 'Digit: Seven')	('Numbers: Three-4074', 'Digit: Three')	('Numbers: Four-3566', 'Digit: Four')	('Numbers: Nine-6048', 'Digit: Nine')	('Numbers: Five-5969', 'Digit: Five')	('Numbers: Five-3018', 'Digit: Five')	('Numbers: Eight-3396', 'Digit: Eight')
pos_9-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-7	0	0	0	0	0	0	0	0	85	0	0	145	0	0	0	0	0	0	60	0
pos_10-8	0	48	15	0	0	0	0	0	104	0	0	253	0	0	0	178	0	201	240	0
pos_10-9	103	228	54	0	0	0	255	0	207	89	0	253	0	0	0	252	86	253	253	0
pos_10-10	248	253	145	0	28	0	163	123	207	253	0	253	0	0	0	252	255	253	253	21
pos_10-11	253	251	186	0	225	0	0	246	207	253	0	60	0	34	0	252	198	253	127	241
pos_10-12	253	251	224	0	254	0	0	252	207	213	89	0	0	129	0	197	0	253	54	254
pos_10-13	252	223	252	0	254	0	0	252	208	34	253	0	96	129	0	0	0	253	54	87
pos_10-14	211	82	253	69	211	15	0	253	207	0	252	0	254	126	0	0	0	254	54	0
pos_10-15	30	0	252	253	20	144	0	129	207	0	252	0	254	0	0	0	0	225	54	99
pos_10-16	1	0	252	253	0	249	90	6	207	0	28	0	231	189	0	0	86	48	54	254
pos_10-17	0	0	252	253	0	236	254	0	207	0	0	0	34	253	0	122	255	0	9	230
pos_10-18	0	0	202	172	0	134	223	0	208	0	0	0	0	212	27	252	57	0	18	20
pos_10-19	0	120	17	5	0	23	0	0	207	201	0	0	0	0	215	252	0	0	52	0
pos_10-20	2	253	0	0	0	0	0	85	207	236	0	0	0	0	253	212	0	0	0	0
pos_10-21	197	251	0	0	0	0	0	252	165	55	0	0	0	0	215	21	0	0	0	0
pos_10-22	253	126	0	0	0	0	0	252	9	0	0	0	0	0	0	0	0	0	0	0
pos_10-23	135	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-3	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
pos_11-4	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0
pos_11-5	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0
pos_11-6	0	0	0	0	0	0	0	0	210	0	0	12	0	0	0	0	0	0	0	0
pos_11-7	0	0	146	0	0	0	0	0	250	0	0	243	0	0	0	15	0	0	81	0
pos_11-8	20	143	194	0	0	0	18	0	253	52	0	253	0	0	0	219	29	110	253	0
pos_11-9	175	251	252	0	0	0	254	120	252	234	0	253	0	0	0	252	226	253	253	0
pos_11-10	253	253	252	0	44	0	119	246	252	253	0	198	0	0	0	252	226	253	253	157
pos_11-11	251	251	252	0	254	0	0	252	252	228	0	6	0	0	0	224	0	253	253	253
pos_11-12	155	188	252	0	254	0	0	252	252	34	113	0	0	0	0	29	0	253	253	219
pos_11-13	86	15	252	0	244	18	0	252	253	0	253	0	57	0	0	0	0	253	253	4
pos_11-14	0	0	253	69	94	200	0	56	252	0	252	0	254	0	0	0	0	254	254	53
pos_11-15	0	0	252	253	0	253	0	6	252	0	214	0	254	84	0	0	0	253	253	247
pos_11-16	0	0	252	253	0	172	90	0	252	0	15	0	218	243	51	17	29	224	253	241
pos_11-17	0	0	252	246	80	45	253	0	252	0	0	0	25	253	78	230	255	131	186	106
pos_11-18	0	0	196	0	168	0	178	0	253	0	0	0	0	212	210	252	86	9	174	0
pos_11-19	0	158	32	0	120	0	0	0	252	117	0	0	0	0	253	252	0	0	146	0
pos_11-20	66	253	0	0	5	0	0	117	252	253	0	0	0	0	196	198	0	0	34	0
pos_11-21	253	235	0	0	0	0	0	252	252	80	0	0	0	0	9	0	0	0	0	0
pos_11-22	253	63	0	0	0	0	0	245	179	0	0	0	0	0	0	0	0	0	0	0
pos_11-23	135	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-3	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0
pos_12-4	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0
pos_12-5	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0
pos_12-6	0	0	0	0	0	0	0	0	253	0	0	13	0	0	0	0	0	0	0	0
pos_12-7	12	32	213	0	0	0	0	4	253	0	0	253	0	0	0	108	0	0	73	0
pos_12-8	215	229	252	0	0	0	75	107	255	81	0	253	0	0	0	252	86	25	248	0
pos_12-9	253	251	252	0	8	0	254	253	253	253	0	253	0	0	0	252	255	197	253	0
pos_12-10	252	253	252	0	146	0	193	252	253	250	0	134	0	0	0	252	170	253	253	163
pos_12-11	137	184	252	0	254	0	1	252	253	131	10	0	0	0	0	128	0	253	253	253
pos_12-12	0	15	252	0	254	0	0	249	253	0	229	0	0	0	0	0	0	253	253	248
pos_12-13	0	0	252	0	192	129	0	145	255	0	255	0	57	0	30	0	0	253	253	146
pos_12-14	0	0	253	128	0	246	0	0	253	0	253	0	254	5	111	0	0	254	254	204
pos_12-15	0	0	252	253	0	96	0	0	253	0	156	0	254	184	168	13	0	253	253	254
pos_12-16	0	0	252	253	81	12	117	0	253	0	0	6	254	253	242	192	114	253	253	140
pos_12-17	0	0	252	246	241	0	253	0	253	0	0	122	49	253	253	252	255	253	253	0
pos_12-18	0	0	252	0	254	0	152	0	255	0	0	196	0	212	253	252	198	74	253	0
pos_12-19	0	119	232	0	254	0	0	0	253	68	0	242	0	0	119	252	0	7	253	0
pos_12-20	85	253	51	0	86	0	0	225	253	253	0	213	0	0	23	184	0	0	238	0
pos_12-21	253	220	0	0	0	0	0	252	253	87	0	29	0	0	0	0	0	0	146	0
pos_12-22	253	0	0	0	0	0	0	208	243	0	0	41	0	0	0	0	0	0	12	0
pos_12-23	61	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0
pos_12-24	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
pos_12-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-3	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0
pos_13-4	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0
pos_13-5	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0
pos_13-6	13	20	0	0	0	0	0	0	252	0	0	77	0	0	0	6	0	0	0	0
pos_13-7	169	205	206	0	0	0	0	107	252	0	0	254	0	0	0	228	0	0	0	0
pos_13-8	253	251	252	0	0	0	40	252	228	81	0	254	0	0	0	252	29	0	194	0
pos_13-9	253	251	252	0	127	0	254	253	206	253	0	229	0	0	0	252	255	23	253	0
pos_13-10	220	193	250	0	254	0	253	252	206	199	0	35	0	0	0	252	198	198	253	35
pos_13-11	0	23	238	0	254	0	123	220	206	0	85	0	0	0	0	88	0	240	245	233
pos_13-12	0	0	161	0	242	0	24	99	206	0	227	0	0	0	34	28	0	162	240	253
pos_13-13	0	0	106	0	89	147	0	0	207	0	253	0	90	0	255	146	0	107	240	253
pos_13-14	0	0	107	206	16	242	6	0	206	0	252	0	254	9	227	146	0	107	241	253
pos_13-15	0	0	106	253	154	125	107	0	206	0	56	70	254	253	212	197	114	233	113	254
pos_13-16	0	0	106	253	240	125	228	0	206	0	0	198	164	253	135	252	255	245	155	24
pos_13-17	0	0	229	246	254	59	232	0	153	0	0	254	12	253	221	252	255	253	240	0
pos_13-18	0	0	252	0	254	0	33	0	232	0	0	254	0	63	237	252	114	253	240	0
pos_13-19	61	100	252	0	183	0	0	0	252	32	0	254	0	0	235	252	0	73	240	0
pos_13-20	232	253	158	0	7	0	0	225	252	218	0	254	0	0	52	145	0	0	249	0
pos_13-21	253	220	5	0	0	0	0	252	252	234	0	254	0	0	0	14	0	0	253	0
pos_13-22	183	0	0	0	0	0	0	84	117	49	0	254	0	0	0	5	0	0	184	0
pos_13-23	5	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0
pos_13-24	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0
pos_13-25	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
pos_13-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
pos_14-3	0	0	0	0	0	0	0	0	69	0	0	0	0	0	143	0	0	0	0	0
pos_14-4	0	0	0	0	0	0	0	0	90	0	0	0	0	0	60	0	0	0	0	0
pos_14-5	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0
pos_14-6	90	32	0	0	0	0	0	26	69	0	0	133	0	0	0	107	0	0	0	0
pos_14-7	253	253	38	0	0	0	0	207	69	45	0	253	0	0	0	252	0	0	0	0
pos_14-8	253	253	154	0	8	0	0	253	32	234	0	253	0	0	0	252	0	0	32	0
pos_14-9	171	253	153	0	185	0	188	255	0	254	0	205	0	0	0	252	114	0	120	0
pos_14-10	30	159	100	0	254	0	253	215	0	67	0	0	0	0	0	252	255	0	120	0
pos_14-11	0	0	0	0	254	0	253	31	0	0	47	0	0	0	0	252	226	0	44	42
pos_14-12	0	0	0	0	168	0	239	0	0	0	116	0	0	0	11	252	170	0	0	195
pos_14-13	0	0	0	185	77	34	202	0	0	0	253	10	181	0	77	252	198	0	0	253
pos_14-14	0	0	0	244	205	146	228	0	0	0	252	134	254	110	14	252	255	0	0	253
pos_14-15	0	0	0	253	254	199	253	0	0	0	94	249	254	253	0	253	255	0	0	254
pos_14-16	0	0	0	246	254	243	253	0	0	0	0	254	55	253	0	252	255	94	0	192
pos_14-17	0	0	101	105	254	193	208	0	116	0	0	253	0	182	0	252	198	253	0	13
pos_14-18	0	0	224	0	254	18	0	0	222	0	0	253	0	19	37	252	0	253	0	0
pos_14-19	166	159	252	0	154	0	0	114	252	0	0	253	0	0	184	252	0	199	0	0
pos_14-20	253	255	252	0	0	0	0	253	252	188	0	253	0	0	196	252	0	0	83	0
pos_14-21	253	221	162	0	0	0	0	253	227	255	0	253	0	0	9	252	0	0	204	0
pos_14-22	62	0	0	0	0	0	0	84	16	94	0	253	0	0	0	162	0	0	247	0
pos_14-23	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	64	0
pos_14-24	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0
pos_14-25	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0
pos_14-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0
pos_15-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0
pos_15-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0
pos_15-5	75	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-6	240	32	0	0	0	0	0	122	0	0	0	133	0	0	0	170	0	0	0	0
pos_15-7	253	251	0	0	7	0	0	252	0	150	0	253	0	0	0	253	0	0	0	0
pos_15-8	176	251	0	0	152	0	0	252	0	253	0	253	0	0	0	253	0	0	0	0
pos_15-9	37	251	0	0	254	0	9	253	0	253	0	205	0	0	0	253	0	0	0	0
pos_15-10	0	158	0	0	254	0	154	167	0	66	0	0	0	0	0	253	170	0	0	0
pos_15-11	0	0	0	0	254	0	243	0	0	0	47	0	0	0	0	253	255	0	0	16
pos_15-12	0	0	0	81	211	0	254	0	0	0	190	13	0	0	0	253	255	0	0	228
pos_15-13	0	0	0	246	238	0	254	0	0	0	253	177	181	81	0	253	255	0	0	248
pos_15-14	0	0	0	253	254	0	233	0	0	0	252	253	254	251	0	253	255	0	0	181
pos_15-15	0	0	0	253	254	0	144	0	0	0	168	253	254	253	0	255	255	0	0	255
pos_15-16	0	0	0	199	254	166	244	0	119	0	0	254	55	229	0	253	255	0	0	254
pos_15-17	0	0	0	0	254	253	209	0	248	0	0	253	0	4	0	253	141	151	0	152
pos_15-18	70	68	36	0	254	81	0	0	253	0	0	253	0	0	0	253	0	254	0	0
pos_15-19	239	228	222	0	154	0	0	238	252	0	0	253	0	0	155	253	0	254	0	0
pos_15-20	253	253	253	0	0	0	0	252	227	61	0	253	0	0	253	253	0	80	0	0
pos_15-21	222	200	239	0	0	0	0	252	50	253	0	253	0	0	125	253	0	0	98	0
pos_15-22	22	0	51	0	0	0	0	84	0	220	0	253	0	0	0	253	0	0	255	0
pos_15-23	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	107	0	0	121	0
pos_15-24	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0
pos_15-25	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0
pos_15-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0
pos_16-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0
pos_16-4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0
pos_16-5	198	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-6	253	32	0	0	0	0	0	252	0	0	0	133	0	0	0	240	0	0	0	0
pos_16-7	222	251	0	0	25	0	0	252	0	178	0	253	0	0	0	252	0	0	0	0
pos_16-8	26	251	0	0	254	0	0	252	0	253	0	253	0	0	0	252	0	0	0	0
pos_16-9	0	251	0	0	254	0	0	133	0	253	0	214	0	0	0	252	0	0	0	0
pos_16-10	0	158	0	0	254	0	0	37	0	66	0	14	0	0	0	252	0	0	0	0
pos_16-11	0	0	0	15	254	0	56	0	0	0	0	0	0	0	0	252	0	0	0	158
pos_16-12	0	0	0	200	254	0	119	0	0	0	0	109	85	6	0	252	0	0	0	253
pos_16-13	0	0	0	253	254	0	75	0	0	0	255	253	242	194	0	252	29	0	0	130
pos_16-14	0	0	0	253	234	0	14	0	22	0	253	253	254	253	0	252	86	0	0	0
pos_16-15	0	0	0	253	202	0	0	0	146	0	178	253	254	253	0	253	255	0	0	118
pos_16-16	0	0	0	89	254	190	239	0	248	0	4	229	55	228	0	252	226	0	0	253
pos_16-17	64	0	0	0	254	242	208	38	252	0	0	135	0	0	0	252	0	4	0	224
pos_16-18	244	221	0	0	254	46	0	135	253	0	0	84	0	0	0	252	0	203	0	12
pos_16-19	253	251	38	0	119	0	0	253	231	0	0	108	0	0	155	252	0	253	0	0
pos_16-20	224	253	218	0	0	0	0	252	48	54	0	240	0	0	253	195	0	207	0	0
pos_16-21	40	62	252	0	0	0	0	208	0	253	0	253	0	0	143	235	0	0	27	0
pos_16-22	0	0	232	0	0	0	0	19	0	226	0	253	0	0	0	131	0	0	253	0
pos_16-23	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	6	0	0	247	0
pos_16-24	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0
pos_16-25	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0
pos_16-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0
pos_17-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0
pos_17-4	139	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-5	253	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-6	226	32	0	0	0	0	0	252	0	0	0	47	0	0	0	190	0	0	0	0
pos_17-7	34	251	0	0	87	0	0	252	0	94	0	253	0	0	0	252	0	193	0	0
pos_17-8	0	251	0	0	254	0	0	252	0	253	0	253	0	0	0	252	0	167	0	0
pos_17-9	0	251	0	0	254	0	0	0	0	253	0	253	0	0	0	252	0	0	0	0
pos_17-10	0	158	0	0	254	0	0	0	0	66	0	202	0	0	0	232	0	0	0	153
pos_17-11	0	0	0	130	199	0	0	0	0	0	0	125	0	0	0	137	0	0	0	250
pos_17-12	0	0	0	253	173	0	0	0	0	0	0	240	174	156	0	26	0	0	0	163
pos_17-13	0	0	0	253	82	0	0	0	24	0	253	253	254	253	0	38	0	0	0	8
pos_17-14	0	0	0	253	36	0	0	0	159	0	252	253	254	253	0	252	114	0	0	0
pos_17-15	0	0	0	226	75	15	0	0	253	0	252	224	254	253	0	253	255	0	0	73
pos_17-16	64	0	0	38	254	180	239	7	253	0	53	35	226	164	0	252	170	0	0	253
pos_17-17	249	112	0	0	254	164	208	178	253	0	0	6	118	0	0	217	0	0	0	234
pos_17-18	253	248	0	0	254	28	0	252	231	0	0	61	62	0	3	46	0	81	0	27
pos_17-19	223	251	0	0	30	0	0	253	42	0	0	84	81	0	176	26	0	253	0	0
pos_17-20	92	229	173	0	0	0	0	195	0	97	0	233	57	0	236	12	0	249	0	0
pos_17-21	0	47	252	0	0	0	0	65	0	253	0	253	0	0	64	22	0	84	147	0
pos_17-22	0	0	250	0	0	0	0	0	0	184	0	253	0	0	0	0	0	0	253	0
pos_17-23	0	0	107	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	253	0
pos_17-24	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0
pos_17-25	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0
pos_17-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0
pos_18-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0
pos_18-4	255	0	0	0	0	0	0	113	0	0	0	0	0	0	155	0	0	0	0	0
pos_18-5	253	0	0	0	0	0	0	252	0	0	0	0	0	0	89	0	0	0	77	0
pos_18-6	200	32	0	0	0	0	0	252	0	0	0	9	0	0	89	17	0	80	9	0
pos_18-7	0	251	0	0	17	0	0	252	0	94	0	222	0	0	89	39	0	247	0	0
pos_18-8	0	251	0	0	167	0	0	173	0	253	0	253	0	0	89	39	0	243	0	0
pos_18-9	0	251	60	0	88	0	0	0	0	253	0	253	0	0	35	39	0	99	0	111
pos_18-10	0	158	26	0	43	0	0	0	0	66	0	253	15	0	0	31	0	0	0	254
pos_18-11	0	0	0	130	14	0	0	0	0	0	0	253	122	66	0	0	0	0	0	171
pos_18-12	0	0	0	253	0	0	0	0	43	0	126	253	245	228	0	0	0	0	0	8
pos_18-13	0	0	0	253	0	0	0	0	212	0	253	253	254	253	0	127	0	0	0	0
pos_18-14	10	0	0	253	0	9	0	0	252	0	252	253	254	253	0	252	226	0	0	0
pos_18-15	129	0	0	137	75	180	0	48	252	0	252	167	254	243	0	253	255	0	0	80
pos_18-16	244	20	0	0	254	253	239	165	252	0	139	195	254	58	0	252	86	0	0	253
pos_18-17	252	205	0	0	254	77	208	252	157	0	0	199	254	0	31	158	0	0	0	216
pos_18-18	154	251	0	0	254	0	0	252	42	0	0	253	244	0	192	0	0	110	0	0
pos_18-19	37	251	0	0	30	0	0	253	0	54	0	253	250	0	253	0	0	253	0	0
pos_18-20	0	158	61	0	0	0	0	89	0	240	0	253	243	0	137	0	0	253	56	0
pos_18-21	0	0	252	0	0	0	0	0	0	243	0	198	70	0	0	0	0	93	190	0
pos_18-22	0	0	252	0	0	0	0	0	0	69	0	180	0	0	0	0	0	0	253	0
pos_18-23	0	0	119	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	211	0
pos_18-24	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
pos_18-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0
pos_19-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0
pos_19-4	254	0	0	0	0	0	0	176	0	0	0	0	0	0	253	0	0	0	96	0
pos_19-5	253	0	0	0	0	0	0	253	0	0	0	0	0	0	253	0	0	0	251	0
pos_19-6	200	20	0	0	0	0	0	253	0	0	0	0	0	0	253	0	0	20	132	0
pos_19-7	0	206	0	0	0	0	0	240	0	45	0	39	0	0	253	0	0	222	0	0
pos_19-8	0	253	89	0	0	0	0	63	0	233	0	221	0	0	253	0	0	253	0	14
pos_19-9	0	253	238	0	0	0	0	0	0	253	0	253	14	0	241	0	0	242	0	232
pos_19-10	0	195	184	0	0	0	0	0	19	66	0	253	189	0	232	0	0	99	0	254
pos_19-11	0	24	0	130	0	0	0	0	164	0	126	253	254	230	184	0	0	0	0	108
pos_19-12	0	0	0	253	0	0	0	0	246	0	249	253	254	253	170	22	0	0	0	0
pos_19-13	39	0	0	253	0	0	0	63	253	0	253	253	254	253	151	230	86	0	0	0
pos_19-14	192	0	0	188	0	34	0	255	252	0	252	253	254	249	232	252	255	0	0	66
pos_19-15	253	0	0	4	11	253	18	253	233	0	214	253	254	85	232	253	198	0	0	228
pos_19-16	232	191	0	0	213	148	243	253	89	0	78	254	254	0	232	252	0	0	0	253
pos_19-17	86	253	0	0	254	1	142	253	6	0	0	253	254	0	231	124	0	57	0	120
pos_19-18	0	253	0	0	174	0	0	253	0	46	0	253	254	0	237	0	0	215	0	0
pos_19-19	0	253	0	0	5	0	0	0	0	177	0	173	254	0	65	0	0	253	79	0
pos_19-20	0	60	76	0	0	0	0	0	0	253	0	48	254	0	6	0	0	253	237	0
pos_19-21	0	0	252	0	0	0	0	0	0	184	0	12	245	0	0	0	0	93	253	0
pos_19-22	0	0	252	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	253	0
pos_19-23	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0
pos_19-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_20-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_20-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_20-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_20-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0
pos_20-4	254	0	0	0	0	0	0	206	0	0	0	0	0	0	99	0	0	0	191	0
pos_20-5	253	0	0	0	0	0	0	252	0	0	0	0	0	0	99	0	0	0	253	0
