	('Numbers: Six-5412', 'Digit: Six')	('Numbers: Eight-2745', 'Digit: Eight')	('Numbers: Six-6037', 'Digit: Six')	('Numbers: One-1273', 'Digit: One')	('Numbers: One-598', 'Digit: One')	('Numbers: Four-1005', 'Digit: Four')	('Numbers: Seven-1977', 'Digit: Seven')	('Numbers: Seven-2666', 'Digit: Seven')	('Numbers: Five-5014', 'Digit: Five')	('Numbers: Nine-4486', 'Digit: Nine')	('Numbers: Six-6621', 'Digit: Six')	('Numbers: Two-4846', 'Digit: Two')	('Numbers: Three-1486', 'Digit: Three')	('Numbers: Six-1951', 'Digit: Six')	('Numbers: One-3429', 'Digit: One')	('Numbers: Four-2228', 'Digit: Four')	('Numbers: Two-3769', 'Digit: Two')	('Numbers: One-681', 'Digit: One')	('Numbers: Five-2810', 'Digit: Five')	('Numbers: Seven-87', 'Digit: Seven')	('Numbers: Eight-5682', 'Digit: Eight')	('Numbers: Two-4199', 'Digit: Two')	('Numbers: One-7523', 'Digit: One')	('Numbers: Eight-4301', 'Digit: Eight')	('Numbers: Five-6210', 'Digit: Five')	('Numbers: Eight-4909', 'Digit: Eight')	('Numbers: Four-1754', 'Digit: Four')	('Numbers: Seven-846', 'Digit: Seven')	('Numbers: Five-3968', 'Digit: Five')	('Numbers: Zero-4847', 'Digit: Zero')	('Numbers: Four-3079', 'Digit: Four')	('Numbers: Two-5022', 'Digit: Two')	('Numbers: Seven-6162', 'Digit: Seven')	('Numbers: Six-1968', 'Digit: Six')	('Numbers: Zero-1752', 'Digit: Zero')	('Numbers: Three-1116', 'Digit: Three')	('Numbers: One-779', 'Digit: One')	('Numbers: Six-2739', 'Digit: Six')	('Numbers: Six-5802', 'Digit: Six')	('Numbers: One-1141', 'Digit: One')	('Numbers: Six-4825', 'Digit: Six')	('Numbers: Eight-6079', 'Digit: Eight')	('Numbers: Nine-2694', 'Digit: Nine')	('Numbers: Eight-5120', 'Digit: Eight')	('Numbers: Five-266', 'Digit: Five')	('Numbers: Five-610', 'Digit: Five')	('Numbers: Three-3565', 'Digit: Three')	('Numbers: Five-2641', 'Digit: Five')	('Numbers: Five-3873', 'Digit: Five')	('Numbers: Seven-3338', 'Digit: Seven')	('Numbers: Nine-2432', 'Digit: Nine')	('Numbers: Zero-1570', 'Digit: Zero')	('Numbers: Two-4134', 'Digit: Two')	('Numbers: Four-6635', 'Digit: Four')	('Numbers: Zero-6517', 'Digit: Zero')	('Numbers: Three-577', 'Digit: Three')	('Numbers: One-2438', 'Digit: One')	('Numbers: Three-1150', 'Digit: Three')	('Numbers: Seven-7076', 'Digit: Seven')	('Numbers: Three-4759', 'Digit: Three')	('Numbers: Four-3569', 'Digit: Four')	('Numbers: Two-4095', 'Digit: Two')	('Numbers: Eight-3781', 'Digit: Eight')	('Numbers: Seven-3928', 'Digit: Seven')	('Numbers: Zero-2194', 'Digit: Zero')	('Numbers: Four-5574', 'Digit: Four')	('Numbers: Seven-1917', 'Digit: Seven')	('Numbers: Five-3163', 'Digit: Five')	('Numbers: Seven-1900', 'Digit: Seven')	('Numbers: Five-5339', 'Digit: Five')	('Numbers: Nine-1420', 'Digit: Nine')	('Numbers: One-3830', 'Digit: One')	('Numbers: Three-494', 'Digit: Three')	('Numbers: Four-1890', 'Digit: Four')	('Numbers: Three-1440', 'Digit: Three')	('Numbers: Nine-1134', 'Digit: Nine')	('Numbers: Eight-1420', 'Digit: Eight')	('Numbers: Two-5060', 'Digit: Two')	('Numbers: Six-5137', 'Digit: Six')	('Numbers: Four-4197', 'Digit: Four')	('Numbers: Eight-1014', 'Digit: Eight')	('Numbers: One-1537', 'Digit: One')	('Numbers: Two-596', 'Digit: Two')	('Numbers: One-1152', 'Digit: One')	('Numbers: Two-1650', 'Digit: Two')	('Numbers: One-1857', 'Digit: One')	('Numbers: Three-4425', 'Digit: Three')	('Numbers: One-5739', 'Digit: One')	('Numbers: Seven-2546', 'Digit: Seven')	('Numbers: Two-2406', 'Digit: Two')	('Numbers: Four-5075', 'Digit: Four')	('Numbers: Three-6805', 'Digit: Three')	('Numbers: Four-4893', 'Digit: Four')	('Numbers: Nine-2721', 'Digit: Nine')	('Numbers: Zero-4198', 'Digit: Zero')	('Numbers: Two-4837', 'Digit: Two')	('Numbers: Seven-5045', 'Digit: Seven')	('Numbers: Zero-4403', 'Digit: Zero')	('Numbers: Two-3210', 'Digit: Two')	('Numbers: Five-3960', 'Digit: Five')
pos_7-6	0	0	0	0	0	0	0	0	0	0	0	47	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	13	0	125	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	17	0	0	0	0	32
pos_7-7	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	51	0	0	0	0	0	0	0	0	155	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	107	0	198	0	0	124	0	0	0	4	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	222	0	0	0	0	115
pos_7-8	0	0	0	0	0	151	0	0	0	0	0	252	0	0	0	0	233	0	0	13	0	0	0	0	0	253	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	70	0	0	0	0	0	0	0	0	0	0	0	156	0	252	38	248	0	198	0	0	253	0	0	0	7	0	0	0	0	83	0	0	0	0	0	93	0	0	65	0	251	0	147	0	0	0	0	0	189	0	253	0	0	0	0	241
pos_7-9	13	0	130	0	0	254	0	0	0	0	0	210	0	0	0	15	253	0	0	179	0	0	0	0	0	244	194	71	0	0	0	0	0	0	14	6	0	0	0	0	0	156	0	253	0	31	0	0	0	0	0	0	0	4	0	120	0	252	151	254	0	168	255	0	247	0	0	0	7	0	0	0	12	0	0	0	0	0	0	137	0	0	225	0	169	0	252	0	0	0	0	0	253	34	189	0	0	0	0	253
pos_7-10	191	0	247	0	0	253	0	89	0	0	0	161	0	0	0	236	231	0	0	250	56	0	0	0	0	114	0	118	0	2	173	0	0	0	188	187	0	0	0	0	12	253	0	253	0	233	0	0	0	0	0	0	128	124	0	0	0	252	170	253	0	61	255	0	251	0	0	0	7	0	120	0	194	0	120	0	0	0	0	9	0	0	249	0	39	0	252	0	0	0	0	191	253	101	84	136	0	0	0	251
pos_7-11	255	0	253	0	0	253	0	113	0	37	56	160	0	0	0	253	66	0	0	254	253	0	0	128	0	17	0	118	92	110	253	0	5	0	253	240	0	11	0	0	156	253	0	185	0	254	0	0	0	0	0	0	255	117	9	0	0	92	211	253	0	61	255	0	249	0	0	0	7	8	240	0	171	0	149	0	138	0	0	0	67	0	237	0	0	0	252	0	0	0	0	255	11	180	182	253	13	0	0	251
pos_7-12	253	0	253	0	0	253	21	191	0	128	241	77	0	190	9	253	0	0	0	254	253	0	0	191	4	81	0	118	100	254	213	0	59	138	253	230	0	196	114	0	253	253	0	120	0	253	0	0	0	0	0	0	255	0	33	0	0	0	252	164	29	61	255	0	249	0	0	21	7	66	254	0	28	0	149	0	252	0	4	0	241	0	222	175	0	0	252	0	0	50	0	255	0	255	205	252	50	0	0	235
pos_7-13	228	0	229	0	0	134	115	114	3	235	253	45	42	253	254	211	0	0	0	254	229	0	0	128	66	44	0	118	100	255	0	249	132	253	253	169	0	255	251	0	250	244	26	253	147	254	0	0	15	8	0	0	255	0	193	0	129	71	252	169	217	61	255	0	253	0	0	223	99	160	255	152	0	0	55	70	252	0	77	0	254	0	222	253	37	0	217	126	0	128	0	255	0	146	249	252	255	12	0	215
pos_7-14	47	0	60	0	0	0	254	238	129	254	90	45	181	253	253	0	0	0	0	254	129	0	205	128	104	44	0	118	100	213	0	253	190	240	221	203	20	218	223	0	199	244	164	249	253	253	0	129	156	66	0	0	255	0	235	4	254	253	252	254	253	203	255	0	253	68	0	253	131	165	254	252	0	0	16	227	252	0	0	0	182	0	222	184	248	221	146	254	0	211	0	255	0	101	253	252	253	39	9	216
pos_7-15	0	0	4	0	0	0	253	253	254	253	0	46	126	207	253	0	0	39	0	236	88	0	254	128	104	227	0	118	101	42	0	147	255	43	22	252	233	48	31	0	35	253	247	240	253	254	8	254	232	67	128	0	255	0	253	55	254	252	253	253	253	253	255	0	254	249	0	252	131	218	212	102	0	0	0	220	252	0	91	0	10	106	245	0	254	254	37	254	0	253	110	255	0	12	254	252	143	39	185	215
pos_7-16	0	0	0	149	0	0	253	253	250	253	0	45	0	0	84	0	0	244	0	187	0	0	254	191	213	253	0	118	100	6	26	19	184	0	197	252	253	0	0	0	0	253	254	254	254	253	226	254	253	66	255	0	255	0	253	128	202	252	252	253	253	253	255	65	244	233	0	253	171	254	47	0	0	0	0	240	184	60	254	0	108	254	253	0	202	253	0	254	23	194	254	255	0	0	253	253	101	228	204	246
pos_7-17	0	0	0	253	0	0	253	253	239	253	0	102	0	0	0	31	149	252	0	65	0	0	85	255	254	253	0	184	100	0	214	14	132	0	174	226	230	0	0	1	0	253	253	253	253	254	235	254	253	66	255	128	255	0	253	245	0	252	252	216	253	119	255	128	251	46	0	252	152	254	0	0	138	0	145	159	183	254	249	23	254	245	253	0	3	253	27	132	93	0	254	255	0	0	201	244	0	253	7	251
pos_7-18	0	0	145	253	0	0	253	0	239	213	0	252	0	0	0	104	253	252	0	11	0	0	0	255	254	247	0	254	157	0	253	161	132	0	253	29	13	0	0	155	0	178	232	236	253	253	0	254	253	66	255	191	255	178	226	247	0	29	252	27	136	0	255	227	253	0	0	253	131	254	0	0	253	107	246	0	183	254	47	254	254	30	134	0	0	68	201	0	154	0	154	255	0	0	80	56	0	253	0	251
pos_7-19	0	0	80	253	163	0	253	0	239	7	0	252	0	0	0	104	253	252	0	11	9	0	0	255	254	253	0	255	210	40	229	253	47	0	231	0	0	0	0	252	0	10	206	220	253	244	0	254	253	84	64	255	255	254	237	102	0	0	252	0	0	0	255	199	204	0	0	252	83	254	0	0	106	253	253	0	183	202	0	69	235	0	6	0	0	0	252	0	238	0	0	255	119	0	0	0	0	164	0	180
pos_7-20	0	0	0	138	253	0	131	0	92	0	0	210	0	0	0	34	194	207	0	82	205	0	0	255	254	233	8	118	210	208	0	163	13	0	14	0	0	0	0	252	0	65	254	76	254	81	0	254	210	201	0	191	255	253	253	3	0	0	193	0	0	0	128	14	58	0	0	253	1	254	0	0	0	252	126	0	79	0	0	0	0	0	0	0	0	0	155	0	130	0	0	255	253	0	0	0	0	14	0	0
pos_7-21	0	0	0	0	253	7	0	0	62	0	0	0	0	0	0	0	0	13	0	111	227	0	0	64	254	15	234	0	210	250	0	0	9	0	0	0	0	0	0	62	0	240	253	0	253	0	0	254	198	254	0	255	128	140	253	0	0	0	17	0	0	0	0	0	0	0	0	212	0	254	0	0	0	118	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	253	0	0	0	0	0	0	0
pos_7-22	0	0	0	0	253	74	0	0	62	0	0	0	0	0	0	0	0	0	0	32	17	0	0	0	254	0	252	0	210	44	0	0	0	0	0	0	0	0	0	0	0	245	251	0	253	0	0	254	113	9	0	255	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	151	0	254	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	253	0	0	0	0	0	0	0
pos_7-23	0	0	0	0	12	108	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	42	0	210	0	0	0	0	0	0	0	0	0	0	0	0	71	63	0	253	0	0	212	28	0	0	255	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	111	0	254	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0
pos_7-24	0	0	0	0	0	7	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	254	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	209	0	0	0	0	0	0	0	67	0	0	0
pos_8-6	0	0	0	0	0	0	0	73	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	116	0	0	0	0	66	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	214	0	0	0	0	0	112	0	85	0	0	217
pos_8-7	0	0	0	0	0	0	0	225	0	0	0	252	0	0	0	0	0	0	0	69	0	0	0	0	0	241	169	21	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	253	0	0	0	0	253	0	7	0	149	0	0	0	0	91	0	0	0	0	0	14	0	0	0	0	253	0	0	0	214	0	17	0	44	0	253	0	85	0	0	251
pos_8-8	19	0	88	0	0	184	22	226	0	0	0	157	0	0	0	0	140	0	0	207	0	0	0	0	0	244	252	190	0	0	0	0	0	0	14	0	0	0	0	0	0	103	0	45	0	0	0	0	0	0	0	0	0	0	0	133	0	252	207	253	0	0	128	0	253	0	7	0	254	0	10	0	0	252	0	0	0	0	0	204	0	0	0	0	137	0	193	0	141	0	195	0	242	0	218	0	147	0	0	251
pos_8-9	181	0	247	0	0	254	138	225	0	8	0	22	0	0	0	110	253	0	0	254	0	0	0	0	0	52	211	245	39	16	0	0	18	0	183	0	0	0	0	0	0	253	0	245	0	51	0	0	0	0	0	0	128	66	0	250	0	181	252	254	0	0	255	0	84	0	31	0	254	0	163	0	0	0	0	0	0	0	0	80	0	0	10	0	0	0	252	0	67	0	242	0	253	114	21	43	225	0	0	253
pos_8-10	252	0	253	0	0	253	205	246	0	134	56	0	0	0	0	253	130	0	0	254	216	0	0	0	0	0	0	253	220	138	229	0	117	0	253	0	0	0	0	0	54	250	0	253	0	252	0	0	0	31	0	0	255	253	0	107	0	29	253	170	0	0	255	0	69	0	130	0	254	6	252	0	83	0	0	0	95	0	0	4	16	0	81	0	0	0	252	0	157	0	86	0	253	253	0	240	193	0	0	188
pos_8-11	253	11	249	0	0	253	120	252	114	251	243	0	0	70	0	253	0	0	0	254	253	0	0	128	41	0	0	253	253	254	253	0	181	29	253	39	0	72	0	0	253	228	0	253	0	253	0	0	0	225	0	0	255	250	145	107	0	2	252	88	28	0	255	0	53	0	130	0	254	166	210	0	50	0	0	0	253	0	0	0	240	0	46	0	0	0	208	0	149	0	0	0	11	253	0	253	104	0	0	142
pos_8-12	252	37	113	0	0	253	223	252	83	253	253	0	0	247	132	206	0	0	0	153	172	0	0	191	198	0	0	253	253	254	213	0	252	234	191	0	0	254	203	0	253	146	83	254	95	252	0	0	0	225	128	0	255	55	253	107	0	40	252	5	166	0	255	25	53	0	225	214	254	254	87	0	0	0	0	80	252	0	56	0	248	0	0	51	0	0	146	0	151	0	0	64	0	253	0	252	237	73	0	82
pos_8-13	148	37	13	0	0	184	253	253	9	249	211	0	0	253	254	22	0	0	0	189	22	0	0	128	254	0	0	253	253	180	0	249	252	253	73	0	0	254	253	0	240	54	224	253	254	233	0	90	88	228	255	0	255	0	253	164	203	240	252	173	253	0	191	98	137	47	254	253	254	196	28	153	0	0	0	244	227	0	66	0	67	0	0	255	0	0	0	190	214	0	0	128	0	253	66	252	253	173	0	0
pos_8-14	0	37	0	0	0	0	254	252	254	220	4	0	98	213	253	0	0	0	0	253	0	0	205	128	254	0	0	253	253	19	0	209	241	158	51	52	5	105	137	0	0	54	253	253	247	151	0	237	253	253	255	0	255	0	253	244	254	253	252	254	253	90	128	125	253	208	254	203	254	195	91	253	0	0	0	163	119	0	80	0	7	0	0	197	181	221	0	254	214	17	0	191	0	253	129	252	252	253	0	0
pos_8-15	0	37	0	13	0	0	253	252	254	135	0	0	241	23	245	0	0	121	0	254	0	0	254	128	254	16	0	253	254	0	0	0	230	0	0	243	227	0	0	0	0	105	244	253	184	151	0	254	253	254	255	0	255	0	253	254	254	252	253	253	168	253	128	205	209	253	254	102	254	136	230	103	0	0	0	150	45	0	245	0	0	152	108	0	254	254	0	254	214	199	89	255	0	164	225	252	252	253	76	0
pos_8-16	0	37	0	167	0	0	171	252	254	94	0	0	38	0	49	3	0	252	0	254	0	0	244	128	254	26	0	253	253	0	125	40	252	0	0	252	253	0	0	0	0	144	146	254	185	151	220	240	253	253	255	191	255	0	253	254	202	194	252	253	189	253	64	254	10	253	254	102	254	134	217	0	0	0	17	221	0	60	249	0	1	254	253	0	233	253	56	251	241	254	254	255	0	16	253	253	249	130	254	124
pos_8-17	0	37	0	253	0	0	162	252	254	149	0	70	0	0	0	163	149	252	0	254	0	0	27	128	254	93	0	253	253	0	253	227	252	0	60	252	191	0	0	109	0	253	46	253	197	151	235	228	236	253	255	255	255	20	197	194	0	29	252	41	253	226	255	253	66	122	254	102	254	111	24	0	126	43	206	106	0	254	123	23	18	145	253	0	23	232	229	72	254	119	254	255	0	0	253	252	225	123	157	142
pos_8-18	0	24	157	253	64	0	253	126	254	203	0	252	0	0	0	253	253	252	0	254	0	0	0	191	254	246	0	253	253	0	253	253	252	0	253	55	4	0	0	252	0	253	25	253	254	151	0	130	162	253	255	255	255	243	25	70	0	4	252	0	226	0	255	253	197	0	254	102	254	120	0	0	253	239	253	0	0	254	0	254	202	0	253	0	0	8	252	0	254	0	178	255	0	0	240	205	48	253	0	142
pos_8-19	0	0	22	247	238	0	253	0	254	50	0	252	0	0	0	253	253	252	0	254	69	0	0	255	254	253	0	253	253	0	203	230	252	0	253	0	0	0	0	252	0	202	0	253	203	81	0	125	82	253	255	255	255	254	131	0	0	0	252	0	0	0	255	217	253	0	200	61	254	134	0	0	187	253	246	0	0	215	0	92	235	0	43	0	0	0	236	0	242	0	0	255	148	0	153	21	0	253	0	103
pos_8-20	0	0	0	115	253	0	131	0	254	0	0	126	0	0	0	168	218	93	0	254	244	0	0	255	254	229	112	248	253	28	0	14	252	0	116	0	0	0	0	252	0	253	186	93	185	0	0	175	18	253	64	255	255	243	253	0	0	0	253	0	0	0	64	71	208	0	9	0	24	46	0	0	0	252	57	0	0	0	0	0	0	0	0	0	0	0	69	0	107	0	0	255	253	0	15	0	0	92	0	0
pos_8-21	0	0	0	0	253	204	0	0	254	0	0	0	0	0	0	0	0	0	0	254	254	0	0	128	220	7	252	69	233	237	0	0	216	0	0	0	0	0	0	0	0	253	253	0	184	0	0	228	0	240	0	255	191	33	253	0	0	0	175	0	0	0	0	237	23	0	0	0	0	106	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	253	0	0	0	0	0	0	0
pos_8-22	0	10	0	0	175	253	0	0	254	0	0	0	0	0	0	0	0	0	9	164	112	0	0	0	112	0	210	0	231	125	0	0	21	0	0	0	0	0	0	0	0	135	251	0	142	0	0	251	0	8	0	255	64	0	253	0	0	0	0	0	0	0	0	32	0	0	0	0	0	134	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	253	0	0	0	0	0	0	0
pos_8-23	0	88	0	0	5	253	0	0	254	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	35	0	14	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	59	0	0	254	0	0	0	255	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0
pos_8-24	0	245	0	0	0	135	0	0	176	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-25	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0
pos_9-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	20	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	10	0	240	0	0	0
