	('Numbers: Five-415', 'Digit: Five')	('Numbers: Nine-384', 'Digit: Nine')	('Numbers: Five-1053', 'Digit: Five')	('Numbers: Zero-4050', 'Digit: Zero')	('Numbers: Nine-1168', 'Digit: Nine')	('Numbers: Four-2898', 'Digit: Four')	('Numbers: Four-581', 'Digit: Four')	('Numbers: Nine-5642', 'Digit: Nine')	('Numbers: Eight-2938', 'Digit: Eight')	('Numbers: Six-6833', 'Digit: Six')	('Numbers: Seven-4468', 'Digit: Seven')	('Numbers: Four-5666', 'Digit: Four')	('Numbers: Nine-4606', 'Digit: Nine')	('Numbers: Eight-390', 'Digit: Eight')	('Numbers: Four-5698', 'Digit: Four')	('Numbers: Six-1727', 'Digit: Six')	('Numbers: Two-5048', 'Digit: Two')	('Numbers: Eight-366', 'Digit: Eight')	('Numbers: Seven-4900', 'Digit: Seven')	('Numbers: Three-6403', 'Digit: Three')	('Numbers: Three-5275', 'Digit: Three')	('Numbers: Six-3744', 'Digit: Six')	('Numbers: Two-6710', 'Digit: Two')	('Numbers: Zero-1168', 'Digit: Zero')	('Numbers: Nine-3366', 'Digit: Nine')	('Numbers: Three-2189', 'Digit: Three')	('Numbers: One-677', 'Digit: One')	('Numbers: Four-2498', 'Digit: Four')	('Numbers: Five-5069', 'Digit: Five')	('Numbers: Six-2133', 'Digit: Six')	('Numbers: Five-5824', 'Digit: Five')	('Numbers: Four-3050', 'Digit: Four')	('Numbers: Four-4032', 'Digit: Four')	('Numbers: Four-1676', 'Digit: Four')	('Numbers: One-1327', 'Digit: One')	('Numbers: Zero-739', 'Digit: Zero')	('Numbers: Four-6723', 'Digit: Four')	('Numbers: Five-5878', 'Digit: Five')	('Numbers: Nine-5629', 'Digit: Nine')	('Numbers: Five-1417', 'Digit: Five')	('Numbers: Seven-5775', 'Digit: Seven')	('Numbers: Two-3308', 'Digit: Two')	('Numbers: Four-352', 'Digit: Four')	('Numbers: Six-282', 'Digit: Six')	('Numbers: Nine-2749', 'Digit: Nine')	('Numbers: Nine-814', 'Digit: Nine')	('Numbers: Nine-4747', 'Digit: Nine')	('Numbers: Six-4959', 'Digit: Six')	('Numbers: Zero-4199', 'Digit: Zero')	('Numbers: Four-5781', 'Digit: Four')	('Numbers: Five-3182', 'Digit: Five')	('Numbers: Three-2589', 'Digit: Three')	('Numbers: One-2362', 'Digit: One')	('Numbers: Two-748', 'Digit: Two')	('Numbers: Four-963', 'Digit: Four')	('Numbers: Four-1407', 'Digit: Four')	('Numbers: Four-326', 'Digit: Four')	('Numbers: Six-1136', 'Digit: Six')	('Numbers: Eight-6239', 'Digit: Eight')	('Numbers: Six-4017', 'Digit: Six')	('Numbers: Eight-3449', 'Digit: Eight')	('Numbers: Three-6740', 'Digit: Three')	('Numbers: One-1538', 'Digit: One')	('Numbers: Five-6142', 'Digit: Five')	('Numbers: Seven-5258', 'Digit: Seven')	('Numbers: Six-798', 'Digit: Six')	('Numbers: Zero-1284', 'Digit: Zero')	('Numbers: Six-4793', 'Digit: Six')	('Numbers: Nine-4737', 'Digit: Nine')	('Numbers: Five-1111', 'Digit: Five')	('Numbers: Eight-6210', 'Digit: Eight')	('Numbers: Six-1878', 'Digit: Six')	('Numbers: Four-6734', 'Digit: Four')	('Numbers: Six-744', 'Digit: Six')	('Numbers: One-6533', 'Digit: One')	('Numbers: Nine-1858', 'Digit: Nine')	('Numbers: Four-4623', 'Digit: Four')	('Numbers: Eight-2929', 'Digit: Eight')	('Numbers: One-6463', 'Digit: One')	('Numbers: Six-6336', 'Digit: Six')	('Numbers: Five-5127', 'Digit: Five')	('Numbers: One-5887', 'Digit: One')	('Numbers: Six-1829', 'Digit: Six')	('Numbers: Seven-1986', 'Digit: Seven')	('Numbers: Nine-5875', 'Digit: Nine')	('Numbers: Two-6550', 'Digit: Two')	('Numbers: Six-145', 'Digit: Six')	('Numbers: Eight-3480', 'Digit: Eight')	('Numbers: Three-4486', 'Digit: Three')	('Numbers: Six-5853', 'Digit: Six')	('Numbers: Seven-5337', 'Digit: Seven')	('Numbers: Seven-4517', 'Digit: Seven')	('Numbers: Four-345', 'Digit: Four')	('Numbers: Two-77', 'Digit: Two')	('Numbers: Eight-61', 'Digit: Eight')	('Numbers: One-5720', 'Digit: One')	('Numbers: One-6008', 'Digit: One')	('Numbers: Four-4423', 'Digit: Four')	('Numbers: Three-901', 'Digit: Three')	('Numbers: One-2838', 'Digit: One')
pos_7-9	254	253	0	0	41	29	0	252	0	129	0	0	0	0	0	244	0	0	48	253	0	0	0	251	0	0	0	128	254	0	0	244	0	0	0	0	0	0	0	0	51	0	124	13	0	0	0	0	225	183	0	0	0	0	0	0	128	0	252	93	253	252	0	0	17	170	172	128	0	176	0	0	2	0	0	0	0	0	0	253	204	0	0	0	0	28	0	9	253	253	57	115	0	0	86	0	0	253	252	0
pos_7-10	254	253	7	0	243	0	0	254	0	247	0	0	0	0	91	192	0	76	0	224	0	0	0	253	0	0	0	255	254	0	0	0	0	0	0	0	0	0	0	0	113	0	253	172	0	0	40	63	61	0	0	0	0	0	18	0	255	0	154	0	141	252	0	0	209	253	66	255	29	252	59	0	31	0	0	0	0	47	0	253	204	0	0	0	0	128	0	145	239	253	70	0	0	0	255	0	0	253	252	0
pos_7-11	254	253	82	6	250	0	0	254	0	253	23	0	68	0	239	3	0	254	0	162	0	50	0	251	0	0	0	64	254	106	0	0	0	0	0	40	0	112	114	129	152	0	253	252	0	0	158	254	0	0	0	0	0	0	204	0	255	122	21	0	10	252	0	0	254	255	13	255	182	253	254	0	156	0	0	0	20	228	0	253	204	0	0	0	0	0	149	247	105	255	128	0	0	0	29	0	0	71	252	0
pos_7-12	254	244	234	120	132	0	31	214	64	240	38	0	243	0	191	0	0	169	0	82	0	253	0	253	0	0	0	0	243	252	0	0	0	0	0	101	128	252	197	253	173	0	187	252	5	0	249	71	0	0	0	9	160	0	254	0	0	248	0	0	10	252	0	0	255	253	95	255	232	252	254	0	80	121	238	0	246	253	0	208	204	0	0	0	19	0	253	252	0	253	161	0	17	66	0	0	5	0	252	0
pos_7-13	254	210	252	129	56	0	142	176	253	79	38	0	253	79	0	0	0	69	0	0	153	253	0	251	81	0	98	0	229	67	161	0	0	0	0	204	128	252	251	253	253	16	0	252	97	0	253	0	0	0	0	0	252	9	206	0	0	253	0	0	10	252	0	0	166	133	156	64	252	252	178	37	0	254	252	0	252	253	0	177	204	59	0	0	74	0	122	252	0	242	195	0	194	245	0	0	171	0	252	0
pos_7-14	246	214	253	252	203	0	254	213	188	0	63	0	230	202	0	0	69	131	0	0	254	105	0	253	232	0	254	0	229	0	241	0	0	0	0	253	0	253	253	119	193	128	0	180	254	64	253	0	0	0	0	0	252	188	0	0	0	230	0	0	74	253	76	0	40	0	38	0	239	252	96	248	0	214	252	0	54	237	0	112	89	254	31	0	156	0	0	252	0	103	161	0	252	254	29	0	253	0	253	0
pos_7-15	234	253	252	252	191	0	238	254	0	0	131	0	149	19	0	0	253	60	0	0	254	0	0	251	253	0	253	64	183	0	28	0	0	0	0	253	0	252	251	0	152	252	0	77	253	255	253	0	0	0	119	21	253	253	0	0	0	41	0	0	153	252	217	0	7	0	0	0	168	252	4	254	0	0	149	0	0	154	0	113	80	223	213	20	255	0	0	223	0	0	162	0	147	210	198	0	145	0	252	0
pos_7-16	189	253	252	252	2	0	221	253	0	0	135	0	0	0	0	0	253	141	0	0	254	0	0	169	253	1	78	255	125	0	0	168	0	21	17	253	0	252	253	0	193	252	77	0	203	191	253	0	0	82	234	222	145	242	0	0	0	0	112	10	238	252	252	0	7	0	37	0	168	215	0	63	0	0	0	0	11	25	115	177	0	0	254	235	254	0	0	32	0	0	144	0	5	254	226	190	0	0	252	205
pos_7-17	68	213	252	253	0	130	254	115	0	0	225	0	0	0	0	0	39	110	0	102	254	0	0	56	253	10	0	255	68	0	0	254	0	128	136	253	0	252	251	0	152	151	239	0	226	128	253	0	67	235	254	238	0	193	0	0	255	0	252	32	253	252	252	0	7	0	89	0	168	162	103	0	0	0	0	0	211	6	254	177	0	0	253	254	254	129	0	127	135	0	38	101	0	254	86	251	0	0	252	253
pos_7-18	18	31	253	252	0	253	243	0	48	0	251	0	0	94	145	0	0	254	0	254	250	0	0	0	253	201	0	128	63	0	0	119	0	233	252	253	0	252	169	0	92	0	253	0	254	0	253	0	215	253	253	37	0	72	8	167	255	0	162	138	232	252	223	0	110	0	240	0	168	69	211	0	0	0	0	0	252	5	254	59	0	0	163	237	163	253	0	252	253	0	0	254	0	125	0	188	0	129	252	253
pos_7-19	0	2	252	252	0	243	0	0	253	0	253	227	0	228	253	0	0	112	0	253	243	0	0	0	253	253	0	0	0	0	0	0	43	253	252	215	0	203	168	0	51	0	70	0	99	0	253	0	100	253	253	0	0	219	5	253	0	0	0	243	40	252	78	6	85	0	252	0	253	69	0	0	5	0	0	0	106	57	10	0	0	0	0	0	96	253	0	252	43	0	0	255	33	0	0	0	0	253	252	30
pos_7-20	0	0	224	231	0	56	0	0	103	0	253	252	0	252	25	0	0	0	0	0	250	0	0	0	253	151	0	0	0	0	57	0	226	254	74	168	0	160	114	0	0	0	0	0	0	0	102	0	0	253	253	0	0	253	0	254	0	0	0	254	0	162	0	15	1	0	252	0	252	69	0	0	168	0	0	0	0	57	0	0	0	0	0	0	0	253	0	250	0	0	0	158	166	0	0	0	0	204	128	0
pos_7-21	0	0	169	232	0	0	0	0	0	0	186	252	0	163	0	0	0	0	0	0	254	0	0	0	238	0	0	0	0	0	74	0	253	166	0	17	255	77	0	0	0	0	0	0	0	0	0	0	0	155	254	0	0	253	0	70	0	0	0	163	0	0	0	90	0	0	204	0	21	7	0	0	253	0	0	0	0	3	0	0	0	0	0	0	0	24	0	58	0	0	0	6	243	0	0	0	0	16	0	0
pos_7-22	0	0	157	252	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	124	0	0	0	109	0	0	0	0	0	20	0	253	0	0	0	255	45	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	11	0	0	0	0	0	23	0	0	0	176	0	0	30	0	0	37	0	0	248	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0
pos_7-23	0	0	57	215	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	191	4	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	69	0	0	68	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-24	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
pos_8-5	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	5	180	0	0	0	0	0	0	0	0
pos_8-6	0	11	0	0	0	15	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	47	237	0	0	0	0	0	0	0	0
pos_8-7	52	103	0	0	0	207	0	203	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	26	253	0	0	0	0	0	0	0	0	0	254	0	213	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	10	243	0	0	0	0	0	0	0	0	0	139	253	0	0	0	0	0	0	13	0
pos_8-8	254	253	0	0	23	253	0	254	0	33	104	0	0	0	0	151	0	0	245	213	0	0	34	198	0	0	0	0	228	0	0	82	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	224	253	0	0	0	0	0	0	0	0	55	216	187	252	0	0	0	98	172	0	9	57	0	0	2	0	0	0	0	0	0	253	98	0	0	0	0	0	0	16	3	140	222	253	0	0	0	0	0	140	144	0
pos_8-9	254	241	0	0	210	29	0	212	0	253	180	0	0	0	0	254	0	0	177	171	0	0	111	253	0	0	0	191	254	0	0	244	0	0	0	8	0	0	57	0	252	0	124	70	0	0	41	0	41	239	0	0	0	0	0	0	64	0	235	34	253	252	0	0	32	243	0	255	101	244	80	0	109	0	0	0	0	0	0	253	0	0	0	0	0	0	0	186	65	251	249	213	0	0	0	0	0	253	172	0
pos_8-10	254	152	154	42	248	0	114	87	0	253	197	0	13	0	176	112	0	175	21	20	0	4	109	255	0	0	0	255	203	15	0	0	0	0	0	63	0	0	255	0	253	0	253	229	0	0	226	187	0	51	0	0	0	0	131	43	255	78	150	0	204	252	0	0	253	252	50	255	239	252	252	0	253	0	0	0	0	156	0	253	0	0	0	0	13	0	0	253	43	251	253	180	0	0	170	0	0	253	81	0
pos_8-11	254	111	252	160	119	0	190	8	11	253	230	0	223	0	253	0	0	254	0	0	0	176	58	253	24	0	0	64	106	230	0	0	0	0	0	195	0	184	253	157	252	0	253	252	0	0	253	224	0	0	0	0	0	0	254	151	255	248	0	0	10	252	0	0	253	253	166	255	242	253	254	0	250	32	0	85	92	253	0	253	0	0	0	0	111	0	253	252	0	253	254	180	0	0	141	0	0	82	39	0
pos_8-12	197	33	252	252	0	0	226	4	209	187	253	0	238	0	191	0	0	107	0	0	0	253	27	254	166	0	0	0	32	155	16	0	0	0	0	5	255	252	254	253	253	0	187	252	117	0	253	23	0	0	0	0	160	0	242	99	64	253	0	0	0	252	0	0	253	252	252	191	205	235	86	19	74	233	238	187	252	253	0	102	0	0	0	0	226	0	252	247	0	251	253	180	100	0	0	0	10	0	39	0
pos_8-13	81	0	214	253	0	0	254	0	200	0	253	0	159	16	0	0	4	0	0	0	28	211	0	253	252	0	135	0	0	3	233	0	0	0	0	90	128	252	253	239	252	0	0	252	254	191	253	0	0	0	0	0	252	13	72	0	0	229	0	0	0	252	73	0	253	55	181	0	82	128	1	213	0	242	252	254	252	222	0	0	0	59	0	0	253	0	69	189	0	215	253	180	252	92	0	0	220	0	110	0
pos_8-14	47	69	168	252	126	0	238	4	49	0	254	0	0	22	0	0	189	0	0	0	154	17	0	254	253	0	254	0	0	0	220	0	0	0	0	253	0	253	254	10	253	26	0	104	216	255	253	0	0	0	55	0	252	253	0	0	0	58	0	11	0	253	215	0	253	0	224	0	17	45	0	253	0	58	252	254	80	36	0	0	0	254	233	36	253	0	0	145	0	0	253	180	245	65	0	0	253	0	39	0
pos_8-15	0	253	224	252	254	0	73	126	0	0	253	0	0	0	0	0	253	0	0	0	154	0	0	253	224	0	253	128	0	0	70	0	0	77	0	253	0	231	253	0	252	210	0	0	85	255	253	0	0	0	237	59	253	253	0	0	0	0	80	135	0	252	252	0	253	0	137	0	0	45	0	133	0	0	179	254	0	0	0	0	0	223	252	183	254	0	0	35	0	0	254	180	27	39	0	0	145	0	39	0
pos_8-16	0	253	252	252	28	0	96	254	0	0	253	0	0	0	0	0	128	0	0	102	108	0	0	254	99	0	78	255	0	0	141	168	0	191	47	253	0	137	226	0	253	253	99	0	0	255	253	0	0	104	254	235	145	242	0	0	0	0	242	191	39	252	252	0	253	0	4	0	0	21	0	3	0	0	13	254	22	0	87	0	0	0	253	254	253	0	0	0	0	0	253	180	0	254	141	190	0	0	158	205
pos_8-17	0	253	252	191	0	219	254	250	0	0	253	0	0	0	26	0	0	0	0	203	71	0	0	253	10	61	0	255	0	0	156	254	0	253	252	223	0	85	168	0	252	242	253	0	78	255	253	0	0	253	254	202	0	222	42	55	255	0	252	254	174	252	252	18	253	0	0	0	0	0	2	0	0	0	0	152	252	0	254	0	0	0	212	254	253	100	0	197	170	0	243	239	0	254	226	251	0	0	240	253
pos_8-18	0	253	253	108	0	253	153	117	221	0	253	0	0	0	243	0	0	246	0	253	48	0	0	198	10	235	0	128	0	0	166	101	3	253	252	253	0	32	254	0	253	47	253	0	249	64	253	0	41	253	254	22	0	138	228	253	255	0	84	254	253	252	197	69	253	0	45	0	0	0	4	0	0	0	0	13	252	0	196	0	0	0	0	99	253	253	0	252	253	0	163	253	0	60	29	188	0	169	252	253
pos_8-19	0	30	252	108	0	206	0	0	242	0	253	236	0	147	253	0	0	146	0	212	39	0	0	28	128	253	0	0	0	0	242	0	136	253	147	253	0	11	253	0	252	0	212	0	130	0	253	0	214	253	222	0	0	114	120	254	0	0	0	254	174	235	0	191	253	0	175	0	60	0	0	0	103	0	0	0	106	0	4	0	0	0	0	0	238	253	0	252	43	0	17	253	138	0	0	0	0	253	252	30
pos_8-20	0	0	252	46	0	0	0	0	40	0	253	252	0	253	25	0	0	0	0	0	224	0	0	0	253	99	0	0	0	0	246	0	253	254	0	253	191	0	254	0	123	0	0	0	0	0	104	0	63	253	184	0	0	253	0	249	0	0	0	254	50	54	0	254	30	0	252	0	252	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	83	253	0	185	0	0	0	253	254	0	0	0	0	94	212	0
pos_8-21	0	0	252	47	0	0	0	0	0	0	214	190	0	239	0	0	0	0	0	0	254	0	0	0	253	0	0	0	0	0	144	0	253	198	0	84	255	0	253	0	0	0	0	0	0	0	0	0	0	196	127	0	0	253	0	49	0	0	0	254	111	0	0	254	0	0	252	0	74	0	0	0	253	0	0	0	0	91	0	0	0	0	0	0	0	24	0	0	0	0	0	132	187	0	0	0	0	0	0	0
pos_8-22	0	0	253	232	0	0	0	0	0	0	14	76	0	38	0	0	0	0	0	0	194	0	0	0	224	0	0	0	0	0	4	0	253	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	70	0	0	0	0	0	211	69	0	0	255	0	0	128	0	0	0	0	0	132	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-23	0	0	252	236	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	22	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-24	0	0	209	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-25	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-4	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	17	0	0	0	0	0	0	0	0
pos_9-5	0	20	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	212	253	0	0	0	0	0	0	0	0
pos_9-6	0	208	0	0	0	54	0	119	0	0	253	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	4	198	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	253	253	0	0	0	0	0	0	0	0
pos_9-7	21	251	0	0	0	253	0	253	0	28	253	218	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	148	253	0	0	0	0	0	0	0	0	0	238	0	157	0	0	0	0	226	0	0	0	0	0	11	0	0	0	0	0	0	10	158	0	0	0	0	0	0	0	0	0	254	253	0	0	0	0	0	0	0	0
pos_9-8	254	213	0	0	76	253	0	237	0	196	253	253	0	0	0	235	0	0	103	0	0	0	105	28	0	0	0	128	75	0	0	117	0	0	0	8	0	0	57	0	224	0	0	16	0	0	41	0	133	253	0	0	0	0	0	0	0	0	0	34	49	185	0	0	0	197	74	0	176	174	9	0	159	0	0	0	0	0	0	253	0	0	0	0	0	0	0	64	0	217	253	253	0	0	0	0	0	49	0	0
