	('Numbers: Seven-5059', 'Digit: Seven')	('Numbers: One-2762', 'Digit: One')	('Numbers: One-5235', 'Digit: One')	('Numbers: One-6230', 'Digit: One')	('Numbers: Zero-1472', 'Digit: Zero')	('Numbers: Seven-1483', 'Digit: Seven')	('Numbers: Two-149', 'Digit: Two')	('Numbers: Five-4757', 'Digit: Five')	('Numbers: One-5285', 'Digit: One')	('Numbers: Six-6252', 'Digit: Six')	('Numbers: One-1280', 'Digit: One')	('Numbers: Six-37', 'Digit: Six')	('Numbers: Three-892', 'Digit: Three')	('Numbers: Nine-6821', 'Digit: Nine')	('Numbers: One-6341', 'Digit: One')	('Numbers: One-4684', 'Digit: One')	('Numbers: Six-6494', 'Digit: Six')	('Numbers: Nine-975', 'Digit: Nine')	('Numbers: Seven-3511', 'Digit: Seven')	('Numbers: Seven-3517', 'Digit: Seven')	('Numbers: Two-3742', 'Digit: Two')	('Numbers: Nine-2253', 'Digit: Nine')	('Numbers: Four-3989', 'Digit: Four')	('Numbers: Eight-4461', 'Digit: Eight')	('Numbers: Zero-858', 'Digit: Zero')	('Numbers: Four-1838', 'Digit: Four')	('Numbers: Five-5967', 'Digit: Five')	('Numbers: Seven-4171', 'Digit: Seven')	('Numbers: Zero-5526', 'Digit: Zero')	('Numbers: Six-3469', 'Digit: Six')	('Numbers: Eight-482', 'Digit: Eight')	('Numbers: Two-1599', 'Digit: Two')	('Numbers: Eight-3331', 'Digit: Eight')	('Numbers: Nine-2683', 'Digit: Nine')	('Numbers: Two-2972', 'Digit: Two')	('Numbers: Eight-6451', 'Digit: Eight')	('Numbers: Two-4248', 'Digit: Two')	('Numbers: Seven-4030', 'Digit: Seven')	('Numbers: Three-1679', 'Digit: Three')	('Numbers: Nine-5476', 'Digit: Nine')	('Numbers: Nine-5737', 'Digit: Nine')	('Numbers: Zero-5309', 'Digit: Zero')	('Numbers: Zero-3520', 'Digit: Zero')	('Numbers: Four-784', 'Digit: Four')	('Numbers: Nine-1491', 'Digit: Nine')	('Numbers: Five-1225', 'Digit: Five')	('Numbers: Eight-5334', 'Digit: Eight')	('Numbers: Eight-1825', 'Digit: Eight')	('Numbers: Six-5355', 'Digit: Six')	('Numbers: Seven-608', 'Digit: Seven')	('Numbers: Four-6003', 'Digit: Four')	('Numbers: Seven-5717', 'Digit: Seven')	('Numbers: Eight-4238', 'Digit: Eight')	('Numbers: Nine-4070', 'Digit: Nine')	('Numbers: Zero-5189', 'Digit: Zero')	('Numbers: One-7320', 'Digit: One')	('Numbers: Five-5509', 'Digit: Five')	('Numbers: Five-5421', 'Digit: Five')	('Numbers: Nine-5001', 'Digit: Nine')	('Numbers: Three-3572', 'Digit: Three')	('Numbers: Three-240', 'Digit: Three')	('Numbers: Seven-1143', 'Digit: Seven')	('Numbers: One-7539', 'Digit: One')	('Numbers: Seven-5055', 'Digit: Seven')	('Numbers: Zero-302', 'Digit: Zero')	('Numbers: Nine-4432', 'Digit: Nine')	('Numbers: Six-1605', 'Digit: Six')	('Numbers: Nine-6167', 'Digit: Nine')	('Numbers: Three-688', 'Digit: Three')	('Numbers: Four-4300', 'Digit: Four')	('Numbers: Eight-1796', 'Digit: Eight')	('Numbers: One-4937', 'Digit: One')	('Numbers: Five-2406', 'Digit: Five')	('Numbers: One-2158', 'Digit: One')	('Numbers: Four-5871', 'Digit: Four')	('Numbers: Five-2203', 'Digit: Five')	('Numbers: Six-4848', 'Digit: Six')	('Numbers: One-2649', 'Digit: One')	('Numbers: Four-4201', 'Digit: Four')	('Numbers: Five-2410', 'Digit: Five')	('Numbers: Zero-1270', 'Digit: Zero')	('Numbers: One-72', 'Digit: One')	('Numbers: Three-2287', 'Digit: Three')	('Numbers: Three-3811', 'Digit: Three')	('Numbers: One-3042', 'Digit: One')	('Numbers: Two-3036', 'Digit: Two')	('Numbers: Nine-2997', 'Digit: Nine')	('Numbers: Two-6224', 'Digit: Two')	('Numbers: Nine-5196', 'Digit: Nine')	('Numbers: Four-1161', 'Digit: Four')	('Numbers: Eight-4250', 'Digit: Eight')	('Numbers: One-3467', 'Digit: One')	('Numbers: One-3881', 'Digit: One')	('Numbers: Eight-4963', 'Digit: Eight')	('Numbers: Zero-6632', 'Digit: Zero')	('Numbers: One-736', 'Digit: One')	('Numbers: Nine-675', 'Digit: Nine')	('Numbers: Six-2346', 'Digit: Six')	('Numbers: Four-4018', 'Digit: Four')	('Numbers: Three-1615', 'Digit: Three')
pos_7-7	145	0	0	0	253	71	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	153	191	0	0	0	0	0	0	0	15	0	0	248	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	49	0	0	0	122	0	0	25	0	219	0	0	0	0	0	0	0	0	0	232	0	103
pos_7-8	206	0	0	0	253	145	0	0	0	0	0	0	147	0	0	0	70	0	0	0	0	0	0	0	34	0	252	191	0	0	74	0	0	0	0	177	0	0	253	0	0	0	0	0	0	0	54	0	0	0	155	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	201	0	0	255	0	0	0	247	45	0	19	0	227	0	0	0	0	0	0	0	0	0	252	0	254
pos_7-9	251	0	0	0	253	157	0	0	0	0	0	0	240	27	0	0	242	115	0	0	0	0	0	0	93	0	252	0	6	0	200	0	0	0	0	253	0	0	253	0	0	43	5	0	0	0	253	0	0	0	0	139	0	0	0	0	57	0	0	0	51	0	0	0	0	0	0	2	0	0	48	0	16	0	0	247	0	0	245	0	0	0	253	245	0	12	0	66	0	0	0	0	0	0	0	0	0	147	0	205
pos_7-10	251	0	0	0	237	197	0	0	0	0	0	0	252	211	0	0	252	224	0	0	0	0	0	0	93	0	253	0	179	0	253	154	0	0	0	253	18	0	253	0	0	225	33	0	10	0	253	0	96	143	0	61	0	0	47	0	76	0	0	0	253	0	0	0	0	0	0	95	0	0	140	0	109	0	0	253	0	0	36	86	0	0	236	253	0	17	0	25	0	0	0	0	0	0	0	0	0	0	123	51
pos_7-11	251	0	0	0	233	245	0	0	0	0	0	0	253	253	0	0	252	253	0	0	0	0	0	0	93	0	252	0	254	0	253	232	0	0	0	253	213	0	253	0	0	251	210	40	187	0	253	41	249	247	0	7	7	0	159	0	76	0	0	43	254	0	0	11	0	0	0	217	29	0	189	0	171	0	0	253	0	0	0	245	12	0	93	253	0	19	0	0	0	230	0	0	0	0	181	0	0	0	17	0
pos_7-12	253	0	127	0	253	245	20	0	0	7	0	120	252	253	0	109	243	253	0	87	0	0	34	94	210	0	252	0	254	0	253	137	0	16	110	253	254	0	253	64	0	253	252	247	254	93	253	141	253	252	0	66	169	12	243	0	114	63	24	246	253	0	0	91	0	5	0	253	212	0	250	0	253	0	43	253	0	0	0	254	252	0	79	254	0	13	0	0	0	88	0	0	0	0	252	0	0	0	0	0
pos_7-13	251	0	250	0	253	245	59	0	0	229	32	253	252	253	0	252	108	254	0	98	0	56	219	247	253	0	252	0	254	0	253	75	0	206	253	253	181	0	253	191	0	253	252	121	250	120	253	254	146	252	0	191	254	107	253	0	184	253	120	254	254	0	0	237	114	104	120	253	254	0	234	0	253	0	255	253	51	0	0	254	252	134	168	253	243	0	0	0	0	0	92	0	184	117	253	0	0	0	0	21
pos_7-14	236	0	250	55	253	254	156	0	0	254	205	253	252	253	0	196	0	253	0	198	94	208	254	253	253	0	252	0	254	90	216	0	0	252	253	253	61	0	253	255	0	253	252	0	229	254	253	254	0	253	0	255	86	177	224	0	228	253	204	254	253	0	138	253	215	188	253	247	254	0	239	0	253	134	54	253	242	0	0	254	252	254	235	253	252	0	0	0	49	0	241	211	253	246	252	0	42	0	0	229
pos_7-15	144	0	210	252	253	253	227	109	0	106	253	255	168	244	0	0	0	253	0	235	235	254	253	254	253	0	253	0	254	244	200	0	255	253	151	253	0	0	252	255	0	253	253	0	157	253	253	238	0	252	0	253	36	241	193	0	253	253	235	254	254	0	252	253	253	254	253	253	236	0	253	0	255	251	0	253	254	0	0	254	253	254	254	253	50	0	10	0	161	0	253	253	253	253	252	41	146	0	0	253
pos_7-16	41	0	0	252	253	253	254	211	0	0	251	27	168	128	7	0	0	253	0	246	18	255	253	253	253	0	252	0	254	254	200	0	255	252	5	253	0	0	136	255	64	253	252	0	199	253	253	139	0	252	0	253	56	251	227	121	253	253	250	244	253	0	252	253	252	210	242	216	221	85	215	64	253	251	0	253	77	107	222	254	252	254	253	254	0	0	38	118	220	0	247	168	182	253	252	243	251	0	0	0
pos_7-17	0	143	0	160	253	253	254	253	40	0	251	0	168	0	169	0	0	179	64	254	0	226	253	253	247	0	252	0	254	187	193	6	255	252	24	253	0	0	0	255	255	253	252	0	253	253	253	0	0	252	0	253	54	252	253	252	253	253	253	206	254	0	45	247	252	183	42	70	254	252	114	255	253	251	0	253	0	254	254	254	252	81	253	223	0	0	116	252	253	33	184	0	0	253	253	253	255	0	199	0
pos_7-18	0	254	0	0	166	253	254	254	228	0	251	0	168	0	253	0	0	15	128	254	0	91	253	253	237	0	160	0	253	31	253	156	255	189	206	253	107	0	0	255	128	253	252	61	114	253	253	6	0	77	0	253	0	252	253	253	253	253	253	240	253	0	0	21	252	135	0	179	103	225	230	255	253	251	0	253	0	221	25	254	220	0	49	17	0	40	234	252	253	254	216	0	0	253	252	130	203	0	254	0
pos_7-19	0	254	0	0	22	252	252	253	253	0	94	0	216	0	253	0	0	0	255	161	0	0	0	253	51	0	0	0	254	0	253	254	255	0	243	253	254	0	0	128	0	253	252	252	0	168	141	161	0	0	0	231	51	252	236	208	253	253	161	254	255	118	0	0	252	208	0	150	0	0	253	255	255	139	0	243	0	0	0	254	35	0	0	0	0	253	254	160	253	112	185	0	0	253	252	0	35	89	104	0
pos_7-20	0	177	0	0	0	159	144	253	253	0	0	0	252	0	165	0	0	0	255	0	0	0	0	254	0	0	0	0	253	0	253	251	255	0	43	253	173	0	0	0	0	246	252	148	0	133	36	254	0	0	0	0	254	252	129	23	253	213	0	120	253	255	0	0	253	253	0	13	0	0	253	128	253	0	0	236	0	0	0	206	0	0	0	0	0	227	254	0	253	0	250	0	0	253	252	0	0	150	0	0
pos_7-21	0	4	0	0	0	0	0	253	205	0	0	0	252	0	0	0	0	0	0	0	0	0	0	206	0	195	0	128	208	0	188	73	255	0	0	237	0	0	0	0	0	155	252	0	0	87	29	20	0	0	0	0	75	252	0	0	253	170	0	0	255	199	0	0	252	165	0	0	0	0	219	0	253	0	0	126	0	0	0	95	0	0	0	0	0	0	244	0	253	0	216	0	0	210	0	0	0	106	0	0
pos_7-22	0	0	0	0	0	0	0	254	60	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	39	0	0	0	128	0	0	73	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	93	0	0	84	170	0	0	253	0	0	0	195	0	0	0	0	0	35	0	170	0	0	29	0	0	0	54	0	0	0	0	0	0	8	0	253	0	0	0	0	23	0	0	0	9	0	0
pos_7-23	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0
pos_7-24	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0
pos_7-25	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-4	32	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-5	115	0	0	0	7	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-6	241	0	0	0	253	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	255	0	0	0	0	0	0	0	0	0	241	253	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-7	253	0	0	0	253	253	0	0	0	0	0	0	191	0	0	0	0	22	128	17	0	0	0	0	39	0	70	255	0	0	74	0	0	0	0	150	0	237	253	0	0	0	0	0	0	0	8	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	27	0	73	0	0	76	0	0	161	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	233	0	103
pos_8-8	251	0	0	0	253	253	0	0	0	0	0	0	252	4	0	0	115	186	191	77	0	0	0	0	118	0	252	255	0	0	237	0	0	0	0	253	0	217	253	0	64	98	0	0	0	0	150	0	0	0	252	189	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	3	0	0	236	0	197	0	0	253	0	0	254	0	0	0	160	0	0	0	0	16	0	0	0	0	0	0	0	0	0	253	0	247
pos_8-9	246	0	0	0	249	253	0	0	0	0	0	0	252	184	0	0	252	250	64	159	0	0	0	0	253	0	252	191	143	0	253	0	0	0	0	253	2	101	253	0	191	229	75	0	34	0	253	0	0	0	104	253	0	0	105	0	191	132	0	0	10	0	0	26	0	0	0	115	0	0	253	0	222	0	0	253	0	0	136	21	0	0	229	51	0	0	0	0	0	0	0	0	0	0	0	0	0	147	2	36
pos_8-10	215	0	0	0	81	253	0	0	0	0	0	0	252	253	0	0	252	253	255	214	0	0	0	0	253	42	211	64	253	0	253	167	0	0	0	253	175	88	253	0	255	253	252	0	188	40	253	0	134	95	0	214	0	20	239	0	253	72	8	0	131	0	0	110	0	0	0	253	49	0	253	0	252	0	0	126	0	0	0	221	0	0	254	93	0	0	0	0	0	60	0	0	0	0	32	0	0	0	171	0
pos_8-11	215	0	0	0	17	253	0	0	0	0	0	76	241	253	0	0	252	223	255	214	0	40	32	8	253	220	252	0	253	0	253	138	0	43	0	253	254	55	253	191	255	253	252	160	254	128	253	86	253	126	0	103	179	185	253	0	253	0	128	140	91	32	0	215	0	59	0	253	232	0	253	0	252	0	0	40	0	0	0	254	118	0	253	25	0	0	0	0	4	236	0	0	0	0	211	0	0	0	3	0
pos_8-12	253	0	127	0	99	253	0	0	0	89	0	246	139	253	0	109	121	106	255	250	0	166	219	218	253	138	227	0	253	0	202	0	0	181	110	253	150	88	253	255	255	253	252	254	238	246	253	254	253	170	0	252	254	229	253	0	253	57	233	254	50	100	0	253	32	187	116	249	254	0	253	0	252	0	100	248	0	0	0	253	252	23	253	0	0	0	0	0	89	16	125	0	0	114	252	0	30	0	0	0
pos_8-13	251	0	250	0	186	253	0	0	0	246	104	252	103	253	0	252	0	44	255	254	0	248	253	253	253	0	236	0	254	46	65	0	64	252	253	253	23	55	253	255	255	253	252	108	106	253	253	254	104	126	0	252	143	252	201	0	253	238	253	253	71	113	0	254	215	254	228	204	226	0	144	0	252	0	232	253	117	0	0	183	252	218	253	0	219	0	9	0	167	0	238	0	184	247	253	0	171	0	0	0
pos_8-14	251	0	250	44	230	235	0	0	0	249	251	252	28	253	0	241	0	44	128	254	78	254	244	253	253	0	252	0	253	229	20	0	255	252	225	253	0	8	253	191	255	253	252	0	0	254	220	220	0	21	0	253	78	252	35	0	253	227	243	253	151	177	191	219	252	232	253	57	179	0	41	0	252	253	18	80	253	0	0	183	185	254	253	57	249	0	80	0	242	0	254	211	253	253	252	0	253	0	0	191
pos_8-15	251	0	210	252	253	191	23	131	0	54	253	27	0	253	0	0	0	87	191	254	254	254	117	250	253	0	253	0	253	254	0	0	191	245	3	253	0	0	253	128	64	229	133	0	0	235	237	16	0	28	48	252	0	253	0	18	253	238	145	183	71	236	252	253	253	165	253	213	75	0	216	0	253	251	0	40	190	4	0	183	10	254	254	254	0	0	178	53	253	0	223	253	253	253	236	51	254	0	0	254
pos_8-16	226	31	0	252	253	206	139	219	45	0	251	3	0	250	35	0	0	206	255	254	104	254	191	189	253	0	252	0	254	216	0	0	191	252	0	212	0	0	207	0	191	224	132	0	0	178	253	0	0	236	214	252	0	252	46	222	253	168	222	44	70	216	252	253	252	10	157	253	81	85	198	128	252	251	0	40	17	214	222	205	39	254	174	254	0	0	254	243	248	0	92	168	152	253	143	253	184	0	3	79
pos_8-17	27	238	0	160	253	232	254	140	228	0	251	0	0	171	253	0	0	253	255	254	0	254	253	201	253	0	185	0	249	32	231	0	0	252	0	253	43	0	0	128	255	253	132	0	164	178	253	41	0	252	11	252	0	252	191	253	250	124	253	0	50	132	45	184	141	0	0	129	254	252	21	255	252	251	0	44	0	254	254	254	220	59	49	254	0	0	254	252	248	47	0	0	0	253	253	254	165	4	227	0
pos_8-18	0	254	0	0	253	253	254	68	253	0	235	0	0	0	253	0	0	55	255	254	0	203	253	253	253	0	102	0	199	0	253	44	255	189	79	212	236	0	0	255	255	253	189	125	249	46	253	197	0	94	0	252	0	252	253	253	248	69	162	225	50	100	0	0	112	0	0	253	112	250	49	255	252	251	96	111	0	184	25	254	252	0	2	46	0	157	247	252	160	247	0	0	0	253	252	50	254	183	254	0
pos_8-19	0	254	0	0	124	253	254	68	253	0	70	0	141	0	237	0	0	0	255	241	0	114	0	253	225	0	0	0	254	0	253	254	255	0	253	253	248	0	0	128	0	253	252	254	47	9	253	247	0	0	0	234	204	252	253	137	251	20	13	253	172	248	0	0	112	20	0	253	0	75	230	191	253	59	15	171	0	0	0	254	198	0	0	0	0	253	246	108	128	34	6	0	0	253	252	0	132	253	45	0
pos_8-20	0	96	0	0	19	226	252	9	197	0	0	0	252	0	45	0	0	0	255	46	0	128	0	254	155	38	0	191	253	0	253	254	255	0	154	253	70	0	0	0	0	253	252	99	0	0	253	177	0	0	0	17	254	252	236	0	253	11	0	120	252	254	0	0	253	224	0	24	0	0	253	0	252	0	0	132	0	0	0	254	5	0	0	0	0	176	246	0	32	0	237	0	0	253	252	0	0	254	0	0
pos_8-21	0	0	0	0	0	0	97	54	15	0	0	0	252	0	0	0	0	0	64	0	0	0	0	249	14	243	0	255	254	0	100	148	191	0	0	253	0	0	0	0	0	252	252	0	0	0	238	6	0	0	0	0	75	252	96	0	253	0	0	0	253	179	0	0	252	200	0	0	0	0	253	0	252	0	0	40	0	0	0	254	0	0	0	0	0	0	150	0	32	0	216	0	0	253	0	0	0	253	0	0
pos_8-22	0	0	0	0	0	0	0	18	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	86	0	254	0	128	226	0	0	0	0	0	0	170	0	0	0	0	0	155	252	0	0	0	73	0	0	0	0	0	0	212	11	0	18	0	0	0	252	0	0	0	195	0	0	0	0	0	139	0	252	0	0	12	0	0	0	254	0	0	0	0	0	0	6	0	250	0	0	0	0	149	0	0	0	83	0	0
pos_8-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0
pos_8-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0
pos_8-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-3	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-4	231	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-5	251	0	0	0	7	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	251	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-6	251	0	0	0	253	253	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	131	0	0	255	0	0	0	0	0	0	0	0	0	217	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
