	('Numbers: Four-2516', 'Digit: Four')	('Numbers: Four-6599', 'Digit: Four')	('Numbers: Two-2232', 'Digit: Two')	('Numbers: Three-1759', 'Digit: Three')	('Numbers: Two-5167', 'Digit: Two')	('Numbers: Seven-7284', 'Digit: Seven')	('Numbers: Five-2740', 'Digit: Five')	('Numbers: Five-2979', 'Digit: Five')	('Numbers: Five-3449', 'Digit: Five')	('Numbers: Four-1948', 'Digit: Four')	('Numbers: Three-3812', 'Digit: Three')	('Numbers: Six-4764', 'Digit: Six')	('Numbers: Nine-6936', 'Digit: Nine')	('Numbers: Five-2166', 'Digit: Five')	('Numbers: One-3582', 'Digit: One')	('Numbers: Five-5611', 'Digit: Five')	('Numbers: Eight-3689', 'Digit: Eight')	('Numbers: Two-924', 'Digit: Two')	('Numbers: Zero-4093', 'Digit: Zero')	('Numbers: Zero-719', 'Digit: Zero')
pos_9-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-5	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0
pos_10-6	0	128	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0
pos_10-7	0	253	0	0	0	0	0	0	132	254	0	0	0	0	0	0	0	0	0	0
pos_10-8	0	227	0	0	0	0	123	0	253	140	0	0	0	22	0	0	0	0	0	0
pos_10-9	29	0	0	55	0	44	253	0	75	0	9	0	59	253	0	0	0	0	0	0
pos_10-10	252	0	0	158	0	215	83	70	0	0	62	0	203	253	0	0	0	0	0	0
pos_10-11	252	0	111	244	0	253	0	253	0	0	3	21	253	131	102	0	0	0	37	0
pos_10-12	28	0	90	251	0	244	0	253	0	0	73	206	247	11	254	255	154	0	209	20
pos_10-13	0	0	0	203	128	102	0	117	0	0	199	253	108	0	254	255	253	0	253	240
pos_10-14	0	0	0	88	253	22	0	0	0	23	245	252	50	0	161	191	220	0	253	254
pos_10-15	0	0	0	4	173	0	0	0	0	230	253	252	0	0	0	0	21	0	253	207
pos_10-16	188	0	0	0	0	11	0	0	0	254	253	252	0	0	0	0	0	0	239	24
pos_10-17	253	0	241	0	0	170	0	0	0	238	195	0	0	0	0	0	0	0	114	0
pos_10-18	196	169	253	0	0	253	0	0	0	59	8	0	76	0	0	0	19	0	96	0
pos_10-19	0	253	54	0	0	253	0	0	0	0	0	0	197	0	0	0	204	5	0	196
pos_10-20	0	186	0	0	0	86	0	0	0	0	0	0	253	0	0	0	253	49	58	139
pos_10-21	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	234	236	253	0
pos_10-22	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	4	254	253	0
pos_10-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	253	0
pos_10-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-5	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0
pos_11-6	0	140	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0
pos_11-7	0	253	0	0	0	14	0	0	184	253	0	0	0	0	0	0	0	0	0	0
pos_11-8	0	227	0	33	0	117	220	0	252	215	0	0	67	22	0	0	0	0	0	0
pos_11-9	29	0	0	217	0	247	199	0	22	8	0	0	223	252	0	0	0	0	56	0
pos_11-10	252	0	0	216	0	253	7	157	0	0	10	32	253	252	0	0	0	0	66	0
pos_11-11	252	0	0	190	0	253	0	253	0	0	192	212	251	253	2	191	0	0	221	2
pos_11-12	28	0	0	75	69	168	0	253	0	0	253	253	95	205	138	255	195	0	253	173
pos_11-13	0	0	0	158	238	0	0	68	0	0	253	255	0	181	254	255	253	0	253	254
pos_11-14	0	0	0	254	253	0	0	5	0	23	253	253	0	28	239	64	199	0	203	210
pos_11-15	0	0	0	148	95	0	0	0	0	191	253	253	0	0	44	0	0	0	24	23
pos_11-16	225	0	54	6	0	60	0	0	0	253	253	253	0	0	0	0	0	0	21	0
pos_11-17	253	0	246	0	0	253	0	0	0	253	34	63	133	0	0	0	21	0	0	0
pos_11-18	196	182	253	0	0	253	0	0	0	126	0	0	252	0	0	0	197	0	0	20
pos_11-19	0	253	54	0	0	233	0	0	0	0	0	0	253	0	0	0	253	0	0	230
pos_11-20	0	186	0	0	0	29	0	0	0	0	0	0	253	0	0	0	231	47	58	70
pos_11-21	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	53	205	253	0
pos_11-22	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	254	253	0
pos_11-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	253	0
pos_11-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-5	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0
pos_12-6	0	140	0	0	0	8	0	0	0	229	0	0	0	0	0	0	0	0	0	0
pos_12-7	0	253	0	0	0	188	78	0	184	253	0	0	23	0	0	0	0	0	0	0
pos_12-8	0	227	0	0	0	253	252	0	252	253	0	0	216	20	0	0	0	0	77	0
pos_12-9	128	0	0	0	0	253	163	58	22	206	0	0	253	231	0	0	0	0	238	0
pos_12-10	252	0	0	0	0	247	0	254	0	175	107	197	253	249	0	128	0	0	253	0
pos_12-11	252	0	0	0	0	123	0	253	0	175	253	252	93	253	0	255	0	0	253	91
pos_12-12	28	0	0	0	191	3	0	253	0	175	253	252	0	252	36	255	91	0	253	254
pos_12-13	0	0	0	0	253	0	0	243	0	175	253	253	0	252	239	255	252	0	202	241
pos_12-14	0	0	0	54	213	0	0	211	0	176	253	252	0	239	254	128	249	0	31	21
pos_12-15	0	0	3	157	35	0	0	195	0	241	253	252	0	100	130	64	62	0	0	0
pos_12-16	225	0	169	159	0	157	0	70	0	253	253	252	134	9	0	0	72	0	0	0
pos_12-17	253	16	253	30	0	253	0	0	0	253	212	238	251	0	0	0	201	0	0	0
pos_12-18	196	213	224	0	0	253	0	0	0	253	98	72	253	0	0	0	253	0	0	111
pos_12-19	0	253	35	0	0	92	0	0	0	176	0	0	253	0	0	0	233	0	0	221
pos_12-20	0	99	0	0	0	0	0	0	0	175	0	0	233	0	0	0	50	132	58	13
pos_12-21	0	0	0	0	0	0	0	0	0	175	0	0	41	0	0	0	0	254	253	0
pos_12-22	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	254	253	0
pos_12-23	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	158	151	0
pos_12-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-5	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
pos_13-6	0	140	0	0	0	114	0	0	0	235	0	0	0	0	0	0	0	0	0	0
pos_13-7	0	253	0	0	0	253	165	0	184	253	0	0	54	0	0	0	0	0	86	0
pos_13-8	0	227	0	0	0	253	254	0	252	253	0	0	253	0	0	0	0	0	249	0
pos_13-9	29	0	0	0	0	251	79	140	65	254	0	0	253	0	0	0	0	0	253	0
pos_13-10	253	0	0	0	0	79	0	254	0	253	32	217	151	70	0	128	0	0	253	14
pos_13-11	253	0	0	0	97	0	0	253	0	253	131	252	1	190	0	255	0	0	253	216
pos_13-12	40	0	0	0	255	0	0	253	0	253	76	252	0	237	0	255	0	0	202	254
pos_13-13	0	0	0	0	255	0	0	253	0	253	150	253	0	252	152	255	233	0	9	79
pos_13-14	0	0	0	0	130	0	38	253	0	254	208	252	2	252	254	255	253	0	0	0
pos_13-15	0	0	7	0	0	35	77	254	0	253	253	252	42	252	195	255	253	0	0	0
pos_13-16	226	0	253	185	0	221	157	220	0	253	253	252	233	142	16	255	253	0	0	0
pos_13-17	254	135	253	222	0	253	194	31	0	253	253	253	253	16	0	64	253	0	0	5
pos_13-18	228	253	59	84	0	216	194	0	0	253	250	190	253	0	0	0	233	0	0	136
pos_13-19	104	241	0	0	0	31	145	0	0	254	164	11	253	0	0	0	47	41	43	165
pos_13-20	4	32	0	0	0	0	28	0	0	253	21	0	91	0	0	0	0	230	122	5
pos_13-21	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	254	253	0
pos_13-22	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	217	229	0
pos_13-23	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	32	60	0
pos_13-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
pos_14-6	0	140	0	0	0	77	0	0	0	138	0	0	0	0	0	0	0	0	78	0
pos_14-7	0	253	0	0	0	253	164	0	80	253	0	0	54	0	0	0	0	0	235	0
pos_14-8	0	227	0	0	0	253	254	0	252	253	0	0	253	0	0	0	0	0	253	0
pos_14-9	10	0	0	0	0	123	138	89	242	254	0	63	253	0	0	0	0	0	253	13
pos_14-10	196	0	0	0	0	0	0	255	231	253	0	237	206	0	0	128	0	0	253	193
pos_14-11	252	0	0	0	215	0	17	247	230	253	0	252	29	0	0	255	0	0	97	254
pos_14-12	215	0	0	0	253	0	144	101	230	253	0	252	24	67	0	255	71	0	31	220
pos_14-13	157	0	0	0	157	0	226	0	135	253	0	253	24	200	78	255	240	0	0	52
pos_14-14	57	0	0	0	8	0	251	67	116	254	14	252	132	252	254	255	253	0	0	0
pos_14-15	144	0	34	0	0	130	253	224	106	253	59	252	253	252	254	255	253	0	0	0
pos_14-16	243	0	253	0	0	253	254	254	0	253	222	252	253	253	77	255	246	0	0	0
pos_14-17	253	135	233	148	0	253	253	174	0	253	253	253	253	150	0	255	161	0	0	140
pos_14-18	240	253	27	254	0	35	253	7	0	253	253	252	236	0	0	64	54	10	29	254
pos_14-19	158	233	0	59	0	0	254	0	0	254	253	154	99	0	0	0	0	215	214	254
pos_14-20	9	0	0	0	0	0	251	0	0	253	124	0	0	0	0	0	0	254	253	139
pos_14-21	0	0	0	0	0	0	78	0	0	253	0	0	0	0	0	0	0	254	253	0
pos_14-22	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	120	179	0
pos_14-23	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0
pos_14-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0
pos_15-6	0	124	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	253	0
pos_15-7	0	253	0	0	0	21	123	0	0	91	0	0	20	0	0	0	0	0	253	0
pos_15-8	0	253	0	0	0	21	253	0	43	98	0	0	194	0	0	0	0	0	253	0
pos_15-9	0	147	0	0	0	3	239	0	116	99	0	110	253	0	0	0	7	0	234	153
pos_15-10	63	40	0	0	81	0	204	98	231	98	0	253	253	0	0	0	73	0	154	255
pos_15-11	234	11	0	0	254	0	221	47	230	98	0	253	253	0	0	128	197	0	15	249
pos_15-12	252	25	0	0	253	0	253	0	230	98	0	253	253	0	0	0	250	0	0	109
pos_15-13	253	42	0	0	126	0	250	0	249	98	0	255	253	0	78	0	253	0	0	0
pos_15-14	252	42	33	0	0	0	189	0	253	99	0	253	253	71	254	128	253	0	0	0
pos_15-15	252	144	215	0	0	137	108	101	255	110	0	175	253	212	254	191	253	0	0	0
pos_15-16	252	181	253	0	0	253	50	253	253	254	34	207	253	255	185	255	176	0	0	0
pos_15-17	253	252	150	2	0	205	49	253	222	254	190	255	163	253	0	255	0	36	45	202
pos_15-18	109	253	0	147	0	5	49	77	138	254	253	253	46	100	0	128	0	227	124	254
pos_15-19	0	216	0	216	0	0	59	0	86	158	253	232	0	0	0	0	0	254	253	227
pos_15-20	0	0	0	30	0	0	223	0	11	142	246	47	0	0	0	0	0	254	253	113
pos_15-21	0	0	0	0	0	0	199	0	0	195	104	0	0	0	0	0	0	234	253	0
pos_15-22	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	20	116	0
pos_15-23	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0
pos_15-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	180	0
pos_16-6	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	253	0
pos_16-7	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	253	0
pos_16-8	0	253	0	0	0	0	196	0	0	0	0	0	22	0	0	0	11	44	241	0
pos_16-9	0	253	4	0	57	0	254	0	0	0	0	78	172	0	0	0	168	44	78	177
pos_16-10	0	250	67	0	242	0	254	0	0	0	0	242	247	0	0	0	253	44	0	254
pos_16-11	22	207	144	0	254	0	233	0	0	0	0	252	253	0	0	0	253	44	0	128
pos_16-12	128	228	144	0	245	0	100	0	0	0	0	252	253	0	0	0	253	81	0	0
pos_16-13	140	253	144	0	95	0	22	0	75	0	0	222	253	0	40	0	253	44	0	0
pos_16-14	139	253	215	0	0	83	0	0	92	0	0	138	253	0	217	0	253	25	0	0
pos_16-15	177	253	253	0	0	248	0	2	92	19	0	10	253	27	254	128	253	14	0	0
pos_16-16	252	253	253	0	0	241	0	207	164	247	0	62	105	138	185	255	124	60	35	0
pos_16-17	241	253	76	0	0	77	0	253	206	253	11	253	7	252	0	255	0	224	218	165
pos_16-18	47	253	0	0	0	0	0	133	244	253	89	252	0	247	0	128	0	254	253	241
pos_16-19	0	129	0	208	0	0	0	0	252	68	253	252	0	63	0	0	0	254	253	35
pos_16-20	0	0	0	161	0	0	180	0	203	0	253	108	0	0	0	0	0	237	247	2
pos_16-21	0	0	0	6	0	0	241	0	59	0	217	0	0	0	0	0	0	119	132	0
pos_16-22	0	0	0	0	0	0	41	0	0	0	24	0	0	0	0	0	0	0	4	0
pos_16-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	42	0
pos_17-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	213	0
pos_17-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	254	253	0
pos_17-7	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	128	5	254	238	0
pos_17-8	0	171	75	40	0	0	19	0	0	0	0	0	0	0	0	0	214	254	71	48
pos_17-9	0	244	190	0	64	0	108	0	0	0	0	0	0	0	0	0	253	254	0	236
pos_17-10	0	253	253	0	253	0	128	0	0	0	0	217	52	0	0	0	253	254	0	247
pos_17-11	0	253	253	0	254	0	26	0	0	0	0	252	63	0	0	0	235	254	0	46
pos_17-12	0	253	253	0	122	0	0	0	0	0	0	252	253	0	0	0	120	254	0	0
pos_17-13	0	222	253	0	0	20	0	0	0	0	0	144	253	0	0	0	149	254	0	0
pos_17-14	0	222	253	0	0	220	0	0	0	0	0	0	253	0	178	0	253	232	79	0
pos_17-15	85	205	253	0	0	253	0	0	0	0	0	47	158	0	254	64	253	218	116	0
pos_17-16	253	165	253	0	0	154	0	169	0	138	0	221	10	52	246	255	36	254	218	37
pos_17-17	226	253	150	0	0	0	0	253	0	253	0	253	0	252	75	255	0	254	253	243
pos_17-18	0	253	0	0	0	0	0	133	56	253	6	252	0	252	0	128	0	254	253	107
pos_17-19	0	129	0	61	0	0	0	0	205	165	199	246	0	84	0	0	0	143	253	0
pos_17-20	0	0	0	239	0	0	179	0	253	0	253	92	0	0	0	0	0	32	121	0
pos_17-21	0	0	0	107	0	0	238	0	123	0	253	0	0	0	0	0	0	0	0	0
pos_17-22	0	0	0	0	0	0	36	0	0	0	168	0	0	0	0	0	0	0	0	0
pos_17-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	118	0
pos_18-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	254	253	0
pos_18-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	9	254	253	0
pos_18-7	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	255	171	254	87	0
pos_18-8	0	0	248	91	0	0	0	0	0	0	23	0	0	0	0	0	253	193	0	180
pos_18-9	0	51	253	0	125	0	0	0	0	0	20	0	0	0	0	0	210	207	0	254
pos_18-10	0	72	253	0	255	0	0	0	0	0	0	217	0	0	0	0	68	254	23	100
pos_18-11	0	72	160	0	220	0	0	0	0	0	0	252	6	0	0	0	8	254	42	0
pos_18-12	0	71	178	0	40	9	0	0	0	0	0	252	253	0	0	0	0	254	142	0
pos_18-13	0	0	253	0	0	203	0	0	0	0	0	207	253	0	0	0	229	254	205	0
pos_18-14	0	0	253	0	0	253	0	0	0	0	0	144	203	0	75	0	253	254	238	0
pos_18-15	85	0	253	0	0	177	0	9	0	0	0	221	10	0	254	128	165	254	253	0
pos_18-16	252	89	253	0	0	6	0	222	0	124	0	252	0	218	254	255	1	254	253	140
pos_18-17	150	253	248	0	0	0	0	253	0	253	0	253	0	252	84	255	0	254	253	139
pos_18-18	0	253	88	0	0	0	0	90	0	253	0	252	0	252	0	64	0	254	193	4
pos_18-19	0	129	0	0	0	0	45	0	21	188	148	215	0	84	0	0	0	176	48	0
pos_18-20	0	0	0	145	0	0	229	0	253	0	253	0	0	0	0	0	0	93	6	0
pos_18-21	0	0	0	204	0	0	152	0	244	0	253	0	0	0	0	0	0	0	0	0
pos_18-22	0	0	0	20	0	0	0	0	56	0	219	0	0	0	0	0	0	0	0	0
pos_18-23	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0
pos_18-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	254	0
pos_19-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	254	253	0
pos_19-6	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	255	104	254	253	0
pos_19-7	0	0	180	0	0	0	0	0	0	0	58	0	0	0	0	255	253	254	158	28
pos_19-8	0	0	253	92	0	0	0	28	0	0	231	0	0	0	0	64	242	235	131	237
pos_19-9	0	0	210	85	103	0	0	192	0	0	223	0	0	0	0	0	82	239	131	162
pos_19-10	0	0	37	0	253	0	0	84	0	0	97	218	0	0	0	0	0	254	198	8
pos_19-11	0	0	4	0	231	0	0	0	0	0	0	253	166	0	0	0	0	254	253	0
pos_19-12	0	0	114	0	67	42	0	0	0	0	0	253	253	0	0	0	23	254	253	0
pos_19-13	0	0	253	0	0	253	0	0	0	0	0	255	253	0	0	0	238	254	253	0
pos_19-14	0	0	110	0	0	253	0	0	0	0	0	253	141	27	24	0	253	254	253	0
pos_19-15	172	0	40	0	0	52	0	83	0	0	0	253	0	150	254	191	133	228	253	28
pos_19-16	252	89	253	0	21	0	0	254	0	48	0	253	0	253	254	255	0	216	240	159
pos_19-17	113	253	253	0	21	0	0	254	0	245	0	255	0	252	84	255	0	232	122	4
pos_19-18	0	253	242	0	17	0	35	60	0	253	3	222	0	235	0	0	0	254	23	0
pos_19-19	0	121	47	0	32	0	227	0	53	240	167	41	0	14	0	0	0	255	0	0
pos_19-20	0	0	0	145	32	0	246	0	253	68	253	0	0	0	0	0	0	254	0	0
pos_19-21	0	0	0	243	33	0	108	0	231	0	253	0	0	0	0	0	0	231	0	0
pos_19-22	0	0	0	39	8	0	0	0	37	0	238	0	0	0	0	0	0	97	0	0
pos_19-23	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	10	0	0
pos_19-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_20-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_20-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_20-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_20-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_20-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	255	0
pos_20-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	76	254	253	0
